1985/009   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
15:14:54 0.56  40.65 238.26 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.39 444.3 130692.
15:15:35 0.56  40.65 238.26 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.10 438.7 139732.
15:16:15 0.56  40.65 238.25 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.33 439.4 122714.
15:16:56 0.56  40.65 238.24 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.21 441.6 149871.
15:17:36 0.56  40.65 238.24 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.00 424.3 142971.
15:18:17 0.56  40.65 238.23 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.65 395.3 204770.
15:18:57 0.56  40.65 238.23 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.89 392.8 221025.
15:19:38 0.56  40.65 238.22 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.71 390.4 211543.
15:20:18 0.56  40.65 238.22 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.23 392.8 175358.
15:20:59 0.56  40.65 238.21 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.09 402.4 167594.
15:21:39 0.56  40.65 238.20 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.83 398.8 209659.
15:22:20 0.56  40.66 238.20 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.83 399.0 169699.
15:23:00 0.56  40.66 238.20 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.49 410.8 153996.
15:23:41 0.56  40.66 238.19 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.09 399.9 159376.
15:24:21 0.56  40.66 238.18 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.17 398.0 155458.
15:25:02 0.56  40.66 238.17 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.57 400.1 184759.
15:25:42 0.56  40.66 238.17 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.38 393.0 232249.
15:26:23 0.56  40.66 238.17 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.16 393.5 198919.
15:27:03 0.56  40.66 238.16 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.97 395.7 226713.
15:27:44 0.56  40.66 238.15 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.53 394.5 209126.
15:28:24 0.56  40.66 238.15 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.21 411.5 167598.
15:29:05 0.56  40.66 238.15 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.68 394.5 200066.
15:29:45 0.56  40.66 238.14 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.04 394.3 245054.
15:30:26 0.56  40.66 238.13 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.28 397.7 195833.
15:31:06 0.56  40.66 238.12 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.08 400.3 215854.
15:31:47 0.56  40.66 238.12 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.12 397.7 194190.
15:32:27 0.56  40.66 238.12 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.36 402.2 148513.
15:33:08 0.56  40.66 238.11 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.07 414.2 148013.
15:33:48 0.56  40.66 238.10 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.42 409.6 171496.
15:34:29 0.56  40.66 238.09 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.06 428.9 123925.
15:35:09 0.56  40.67 238.10 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.70 421.9 136175.
15:35:50 0.56  40.67 238.09 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.53 415.0 126362.
15:36:30 0.56  40.67 238.08 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.04 401.4 198754.
15:37:11 0.56  40.67 238.07 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.79 399.3 176024.
15:37:51 0.56  40.67 238.07 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.72 406.3 176167.
15:38:32 0.56  40.67 238.07 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.03 394.8 193972.
15:39:12 0.56  40.67 238.06 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.06 396.9 212842.
15:39:53 0.56  40.67 238.05 -6.95 1757  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.20 393.9 172506.
