17:20:22 0.98 329.12 212.35 -0.34 1650   5.88   480.4 295951.-16.93  0.02   6.00  -4.84   0.24 0.38 0.47 0.25  0.12 552.7 494688.  5.47 490.5 276015.
17:21:02 0.98 329.12 212.34 -0.34 1650   5.66   480.2 315422.-17.71 -0.04   6.91  -3.54   0.46 0.18 0.24 0.25 -1.00  -1.0     -1.  5.51 488.9 298660.
17:21:43 0.98 329.12 212.34 -0.34 1650   5.82   477.4 357522.-17.18 -0.32   6.60  -3.87   0.68 0.24 0.21 0.23  0.19 528.0 465166.  5.60 489.6 301041.
17:22:23 0.98 329.12 212.33 -0.34 1650   5.32   474.2 327035.-17.84 -0.09   6.15  -4.61   0.05 0.49 0.52 0.39  0.16 532.5 376756.  5.24 480.2 278334.
17:23:04 0.98 329.12 212.32 -0.34 1650   5.65   473.7 314626.-17.16 -0.01   5.48  -5.23  -0.27 0.29 0.26 0.31  0.16 520.4 435670.  5.72 481.8 312963.
17:23:44 0.98 329.12 212.32 -0.34 1650   5.06   464.3 300820.-17.44 -0.28   6.15  -4.90  -0.19 0.27 0.24 0.40 -1.00  -1.0     -1.  5.75 465.0 337057.
17:24:25 0.98 329.12 212.31 -0.34 1650   5.57   464.0 296402.-17.37  0.34   5.62  -5.04  -0.48 0.73 0.87 0.37 -1.00  -1.0     -1.  5.67 479.4 313671.
17:25:05 0.98 329.12 212.30 -0.34 1650   5.41   473.5 284929.-17.71  0.28   5.57  -5.08  -0.84 0.73 0.70 0.37  0.10 532.3 257343.  6.02 477.1 258343.
17:25:46 0.98 329.12 212.30 -0.34 1650   5.28   474.8 293943.-17.94  0.58   5.90  -4.62  -0.99 0.39 0.44 0.27 -1.00  -1.0     -1.  5.20 488.2 291578.
17:26:26 0.98 329.12 212.29 -0.34 1650   5.74   472.9 319109.-17.37  0.29   6.23  -4.51  -1.00 0.50 0.56 0.23 -1.00  -1.0     -1.  5.52 477.7 264142.
17:27:07 0.98 329.12 212.29 -0.34 1650   5.19   475.4 215746.-17.61  0.52   6.76  -3.23  -1.15 0.27 0.69 0.26 -1.00  -1.0     -1.  5.50 485.4 263538.
17:27:47 0.98 329.12 212.28 -0.34 1650   5.32   473.3 320788.-17.41 -0.02   6.75  -2.89  -0.96 0.43 0.78 0.22 -1.00  -1.0     -1.  5.63 475.2 263099.
17:28:28 0.98 329.12 212.27 -0.34 1650   5.53   478.7 281073.-16.72  0.36   4.67  -5.52  -0.90 0.86 0.84 0.23  0.17 524.3 464491.  5.79 486.2 263954.
17:29:08 0.98 329.12 212.27 -0.34 1650   5.42   472.5 235812.-18.21  0.22   3.09  -6.78  -0.72 0.49 0.28 0.68 -1.00  -1.0     -1.  5.20 479.9 198406.
17:29:49 0.98 329.12 212.26 -0.34 1650   5.39   479.4 271831.-16.22  0.40   3.79  -6.47  -0.29 0.49 0.34 0.37 -1.00  -1.0     -1.  5.37 486.5 245054.
17:30:29 0.98 329.12 212.25 -0.34 1650   5.35   483.4 228185.-17.89  0.45   3.36  -6.63  -0.88 0.54 0.33 0.31  0.19 505.8 463191.  5.53 485.3 239220.
17:31:10 0.98 329.12 212.25 -0.34 1650   5.27   477.5 270346.-17.63  0.31   3.77  -6.25  -1.21 0.44 0.35 0.47 -1.00  -1.0     -1.  4.94 484.0 250667.
17:31:50 0.98 329.12 212.24 -0.34 1650   5.20   476.4 263869.-17.48 -0.12   3.31  -6.57  -0.06 0.32 0.30 0.51  0.16 511.2 479447.  5.70 473.8 289360.
17:32:31 0.98 329.12 212.24 -0.34 1650   5.18   482.5 271896.-17.24 -0.19   4.75  -5.20  -1.21 0.84 0.87 0.80  0.10 545.7 345688.  5.12 481.0 249387.
17:33:11 0.98 329.12 212.23 -0.34 1650   5.29   480.5 245060.-18.34 -0.55   5.22  -4.59  -1.82 0.17 0.14 0.37 -1.00  -1.0     -1.  5.24 486.3 236088.
17:33:52 0.98 329.12 212.22 -0.34 1650   5.37   480.5 255855.-18.68 -0.40   5.10  -4.42  -2.34 0.51 0.50 1.03  0.15 539.9 745820.  5.59 488.8 234675.
17:34:32 0.98 329.12 212.22 -0.34 1650   4.16   474.2 260777.-18.23  0.61   5.30  -5.37  -0.80 0.49 0.49 0.95 -1.00  -1.0     -1.  4.64 468.0 319219.
17:35:13 0.98 329.12 212.21 -0.34 1650   5.06   474.1 293960.-17.93  0.96   4.94  -5.89  -0.30 0.30 0.19 0.43 -1.00  -1.0     -1.  5.36 476.3 333938.
17:35:53 0.98 329.12 212.20 -0.34 1650   4.78   471.7 303815.-18.52  0.32   5.28  -5.40  -0.89 0.36 0.49 0.43 -1.00  -1.0     -1.  5.27 476.3 280904.
17:36:34 0.98 329.12 212.20 -0.34 1650   4.39   469.3 288583.-17.62  0.70   4.90  -5.95  -0.67 0.14 0.18 0.14  0.12 498.2 296532.  4.50 477.3 301668.
17:37:14 0.98 329.12 212.19 -0.34 1650   4.53   465.7 294161.-18.45  0.49   4.99  -5.48  -0.99 0.18 0.25 0.11 -1.00  -1.0     -1.  4.71 474.3 260871.
17:37:55 0.98 329.12 212.18 -0.34 1650   4.32   479.1 304455.-18.57  1.14   4.99  -5.54   0.13 0.32 0.41 0.83  0.12 552.6 486255.  4.42 488.1 277041.
17:38:35 0.98 329.12 212.18 -0.34 1650   4.63   471.9 298433.-18.80  0.80   4.80  -5.68   0.02 0.19 0.20 0.40  0.16 509.5 366166.  4.68 478.0 270424.
17:39:16 0.98 329.12 212.17 -0.34 1650   4.93   476.8 282502.-18.08  1.01   5.32  -5.24   0.79 0.45 0.43 0.54  0.13 523.3 466193.  5.00 475.1 311118.
17:39:56 0.98 329.12 212.17 -0.34 1650   4.85   471.3 330287.-18.20  0.42   5.48  -4.97   0.01 0.26 0.30 0.36  0.14 509.1 560190.  4.66 474.7 268147.
17:40:37 0.98 329.12 212.16 -0.34 1650   4.50   475.8 301769.-18.17  0.40   5.12  -5.36   0.68 0.37 0.41 0.58  0.16 521.5 450990.  4.41 487.7 292631.
17:41:17 0.98 329.12 212.15 -0.34 1650   4.62   476.2 247412.-19.73  0.29   5.35  -5.22  -0.27 0.41 0.38 0.41  0.18 520.4 584242.  4.20 481.9 243066.
17:41:58 0.98 329.12 212.15 -0.34 1650   4.66   479.0 278425.-17.92  0.35   4.74  -5.72   0.38 0.40 0.28 0.32 -1.00  -1.0     -1.  4.43 484.3 243287.
17:42:38 0.98 329.12 212.14 -0.34 1650   4.69   473.1 271678.-18.05  1.01   5.50  -5.02   0.39 0.25 0.31 0.27  0.06 542.9 406694.  4.61 477.8 247890.
17:43:19 0.98 329.12 212.13 -0.34 1650   3.71   481.4 308555.-18.93 -0.47   5.68  -5.05  -0.71 0.36 0.24 0.78  0.18 542.4 598340.  3.58 484.7 271246.
17:43:59 0.98 329.12 212.13 -0.34 1650   4.19   469.9 271431.-17.57  0.61   5.82  -4.75  -1.29 0.29 0.57 0.83 -1.00  -1.0     -1.  4.13 468.7 255121.
17:44:40 0.98 329.12 212.12 -0.34 1650   3.54   479.4 298108.-17.27  0.02   5.99  -4.34  -2.47 0.22 0.18 0.26  0.09 528.3 398638.  3.47 486.9 277503.
17:45:20 0.98 329.12 212.12 -0.34 1650   3.55   482.4 276876.-18.01 -0.78   5.99  -4.59  -1.98 0.21 0.25 0.21  0.17 509.4 485528.  3.34 479.0 255553.
17:46:01 0.98 329.12 212.11 -0.34 1650   3.75   486.6 261793.-17.16  0.34   6.13  -4.17  -1.49 0.17 0.41 0.31  0.14 527.5 371169.  4.02 492.8 271587.
17:46:41 0.98 329.12 212.10 -0.34 1650   4.54   481.9 238590.-17.94 -0.18   5.36  -4.90  -1.08 0.31 0.32 0.31 -1.00  -1.0     -1.  4.43 483.9 189772.
17:47:22 0.98 329.12 212.10 -0.34 1650   4.13   483.3 190499.-17.17 -0.31   4.96  -5.47  -0.97 0.35 0.40 0.28  0.11 533.9 312151.  4.63 481.3 280189.
17:48:02 0.98 329.12 212.09 -0.34 1650   4.16   487.5 235744.-17.01 -0.20   6.03  -3.69  -1.51 0.36 0.77 0.88  0.20 524.8 774017.  3.92 492.7 197867.
17:48:43 0.98 329.12 212.08 -0.34 1650   4.28   490.0 214301.-16.88 -0.55   5.29  -5.03   0.08 0.27 0.23 0.41  0.16 521.6 395052.  4.74 494.1 236293.
17:49:23 0.98 329.12 212.08 -0.34 1650   4.41   483.5 214285.-17.25  0.24   4.49  -5.66   0.46 0.19 0.22 0.26  0.13 505.8 473222.  4.17 490.5 192591.
17:50:04 0.98 329.11 212.07 -0.34 1650   4.08   486.4 224641.-18.35  0.56   5.03  -5.39   0.00 0.32 0.37 0.32  0.13 542.8 478147.  4.14 489.2 214255.
17:50:44 0.98 329.11 212.06 -0.34 1650   4.44   486.2 206167.-17.37  0.41   5.48  -4.87  -0.38 0.24 0.19 0.23  0.17 527.3 550575.  4.29 492.9 181897.
17:51:25 0.98 329.11 212.06 -0.34 1650   4.37   481.8 172984.-17.67 -0.12   5.77  -4.73  -0.26 0.16 0.17 0.22  0.12 515.5 362489.  4.75 493.7 231030.
17:52:05 0.98 329.11 212.05 -0.34 1650   4.42   484.7 219596.-17.14  0.49   5.83  -4.55   0.16 0.19 0.20 0.32  0.15 510.8 478108.  4.54 489.0 226232.
17:52:46 0.98 329.11 212.05 -0.34 1650   4.06   487.7 226002.-16.20  0.53   6.12  -4.11  -0.11 0.33 0.41 0.41 -1.00  -1.0     -1.  3.91 494.7 207252.
17:53:26 0.98 329.11 212.04 -0.34 1650   3.98   492.3 250758.-16.30 -0.21   6.01  -4.16   0.21 0.42 0.57 0.55  0.15 508.5 427055.  4.18 498.2 265851.
17:54:07 0.98 329.11 212.03 -0.34 1650   4.37   490.4 220622.-16.37  0.36   5.66  -4.72   0.27 0.16 0.21 0.25  0.10 535.2 398456.  4.30 492.0 247900.
17:54:47 0.98 329.11 212.03 -0.34 1650   4.06   490.3 232599.-17.03  0.34   5.57  -4.63  -0.06 0.51 0.57 0.35  0.10 551.7 370506.  4.17 490.4 198633.
17:55:28 0.98 329.11 212.02 -0.34 1650   4.02   488.7 244294.-16.23 -0.26   5.96  -4.33  -0.22 0.21 0.24 0.19  0.16 529.7 337281.  4.03 487.1 206638.
17:56:08 0.98 329.11 212.01 -0.34 1650   3.96   485.5 212332.-16.30 -0.25   6.34  -4.03  -0.19 0.15 0.19 0.31  0.15 514.2 488711.  4.29 484.1 232765.
17:56:49 0.98 329.11 212.01 -0.34 1650   4.24   489.4 227707.-16.18 -0.24   6.05  -4.11  -0.44 0.17 0.12 0.10  0.17 530.5 512581.  4.00 501.7 210877.
17:57:29 0.98 329.11 212.00 -0.34 1650   4.33   483.1 261196.-16.20 -0.14   5.78  -4.34  -0.37 0.27 0.38 0.38  0.20 523.4 635684.  3.97 492.4 188017.
17:58:10 0.98 329.11 212.00 -0.34 1650   4.10   492.7 247230.-15.76 -0.53   6.06  -4.15  -0.29 0.23 0.27 0.22  0.11 556.7 437905.  4.21 499.9 210549.
17:58:49 0.98 329.11 211.99 -0.34 1650   4.02   489.7 252886.-16.42 -0.21   5.82  -4.12  -0.83 0.30 0.29 0.48  0.15 508.4 502705.  4.23 493.7 270876.
17:59:30 0.98 329.11 211.98 -0.34 1650   4.16   496.8 244875.  0.00  0.00   6.02  -3.73  -0.95 0.36 0.49 0.33  0.19 542.5 491193.  3.95 493.3 273471.
18:17:23 0.98 329.11 211.82 -0.34 1650   4.08   480.5 200920.-13.55  1.32   2.28  -6.55  -1.85 0.13 0.27 0.21 -1.00  -1.0     -1.  4.21 487.9 217052.
18:18:04 0.98 329.11 211.81 -0.34 1650   4.07   479.2 194969.-13.75 -0.26   2.24  -6.59  -1.89 0.20 0.27 0.61  0.14 496.9 368388.  3.69 483.4 158772.
18:18:44 0.98 329.11 211.80 -0.34 1650   3.88   475.9 188833.-12.76  0.69   2.04  -6.51  -2.41 0.28 0.17 0.30  0.06 534.6 501029.  4.09 479.1 160808.
18:19:25 0.98 329.11 211.80 -0.34 1650   3.88   486.9 187449.-15.34 -0.29   1.58  -4.52  -4.89 0.49 1.21 1.16  0.16 512.3 316140.  3.58 493.6 139859.
18:20:06 0.98 329.11 211.79 -0.34 1650   4.50   482.7 146168.-15.79  1.88   2.09  -5.06  -3.91 0.28 0.33 0.54  0.11 532.2 487685.  4.59 488.9 148367.
18:20:46 0.98 329.11 211.78 -0.34 1650   4.35   483.2 179208.-15.40  1.91   1.67  -5.72  -3.33 0.48 0.61 0.82  0.14 499.0 417505.  4.51 487.4 149332.
18:21:27 0.98 329.11 211.78 -0.34 1650   4.31   476.4 182602.-13.93  0.32   1.76  -6.40  -1.53 0.76 0.33 1.14 -1.00  -1.0     -1.  4.56 485.0 216753.
18:22:07 0.98 329.11 211.77 -0.34 1650   4.20   479.2 189697.-13.26 -0.42   0.79  -5.69  -3.32 0.60 0.54 1.15  0.15 502.7 414269.  4.27 481.6 168582.
18:22:48 0.98 329.11 211.76 -0.34 1650   4.19   480.6 176505.-13.07  0.81   1.41  -6.17  -2.38 0.38 0.18 0.50 -1.00  -1.0     -1.  3.93 490.7 131780.
18:23:28 0.98 329.11 211.76 -0.34 1650   4.13   480.2 185406.-13.41 -0.68   1.42  -6.23  -2.02 0.34 0.19 0.26  0.12 522.8 737595.  4.45 480.3 186845.
18:24:09 0.98 329.11 211.75 -0.34 1650   4.10   484.2 154286.-13.08  0.90   1.11  -6.01  -2.75 0.30 0.33 0.54  0.09 528.8 405862.  4.00 485.6 148695.
18:24:49 0.98 329.11 211.75 -0.34 1650   3.83   479.6 143653.-14.27  0.57   1.23  -5.00  -4.12 0.26 0.64 1.03 -1.00  -1.0     -1.  4.13 487.0 158343.
18:25:29 0.98 329.11 211.74 -0.34 1650   4.00   485.3 150712.-14.34  1.17   1.08  -5.11  -4.13 0.38 0.37 0.47  0.15 512.1 545468.  4.01 488.0 130708.
18:26:10 0.98 329.11 211.73 -0.34 1650   4.47   485.4 168186.-13.74 -0.11   1.07  -5.71  -3.22 0.42 0.41 0.63  0.19 505.3 414841.  4.49 489.2 153382.
18:26:50 0.98 329.11 211.73 -0.34 1650   4.09   479.6 175147.-13.77  0.17   1.62  -5.63  -3.09 0.50 0.25 0.41  0.10 499.8 313944.  4.14 483.6 147694.
18:27:31 0.98 329.11 211.72 -0.34 1650   4.11   480.7 192299.-14.21  0.21   1.69  -5.72  -2.25 0.37 0.23 0.31  0.11 507.6 287255.  4.19 489.3 175124.
18:28:12 0.98 329.11 211.71 -0.34 1650   3.86   481.5 159405.-13.08  0.21   1.35  -5.87  -2.37 0.39 0.34 0.43 -1.00  -1.0     -1.  3.52 483.6 125972.
18:28:52 0.98 329.11 211.71 -0.34 1650   4.37   481.1 171174.-13.90  0.17   1.55  -6.05  -2.27 0.38 0.19 0.37  0.17 518.9 622574.  4.47 488.7 170343.
18:29:33 0.98 329.11 211.70 -0.34 1650   3.97   483.6 154357.-13.49  0.44   1.09  -6.25  -2.26 0.29 0.26 0.37  0.17 509.5 506383.  4.22 483.7 171577.
18:30:13 0.98 329.11 211.70 -0.34 1650   4.06   481.7 169550.-13.90  0.65   1.27  -5.97  -2.63 0.27 0.28 0.32  0.14 482.9 376210.  4.35 484.6 188615.
18:30:54 0.98 329.11 211.69 -0.34 1650   3.96   475.4 183483.-13.63  0.62   1.55  -6.14  -2.25 0.21 0.26 0.41  0.13 513.1 581162.  3.96 480.7 164083.
18:31:34 0.98 329.11 211.68 -0.34 1650   4.22   478.9 186231.-13.46  0.39   0.87  -5.81  -2.79 0.74 0.54 0.87  0.13 503.0 397170.  3.55 483.5 147662.
18:32:15 0.98 329.11 211.68 -0.34 1650   3.97   492.7 144930.-14.56  2.00   0.65  -5.23  -3.40 0.52 0.47 0.56  0.15 505.8 520351.  4.11 495.5 110909.
18:32:55 0.98 329.11 211.67 -0.34 1650   3.89   476.1 138258.-13.85 -0.31   1.43  -6.00  -2.12 0.83 0.48 0.89 -1.00  -1.0     -1.  3.80 475.0 126800.
18:33:36 0.98 329.11 211.66 -0.34 1650   4.24   470.7 187465.-13.42 -0.28   1.98  -5.91  -2.29 0.42 0.27 0.62  0.13 484.3 344869.  3.85 475.5 176021.
18:34:16 0.98 329.10 211.66 -0.34 1650   4.13   479.9 179490.-13.93  0.75   1.61  -6.32  -2.09 0.33 0.32 0.48  0.09 534.3 380836.  4.39 479.1 189921.
18:34:57 0.98 329.10 211.65 -0.34 1650   4.03   474.9 183889.-13.50  0.17   2.09  -6.24  -2.46 0.35 0.27 0.58  0.13 519.1 380914.  4.18 479.0 164525.
18:35:37 0.98 329.10 211.64 -0.34 1650   3.81   470.9 154292.-13.86  0.39   2.13  -6.27  -2.71 0.21 0.21 0.24 -1.00  -1.0     -1.  3.97 478.5 198731.
18:36:18 0.98 329.10 211.64 -0.34 1650   3.91   472.7 184717.-13.21  0.77   2.04  -6.40  -2.56 0.58 0.20 0.22  0.10 517.0 313580.  3.71 480.3 149861.
18:36:58 0.98 329.10 211.63 -0.34 1650   3.69   480.3 188014.-13.73  0.00   1.66  -6.57  -2.25 0.31 0.19 0.25 -1.00  -1.0     -1.  3.82 480.8 174608.
18:37:39 0.98 329.10 211.63 -0.34 1650   3.73   479.8 146518.-12.33  0.67   1.11  -6.61  -2.15 0.28 0.15 0.22  0.13 498.0 520858.  3.71 487.1 117812.
18:38:19 0.98 329.10 211.62 -0.34 1650   3.82   476.9 188027.-13.90 -0.05   1.63  -6.67  -1.62 0.32 0.17 0.25 -1.00  -1.0     -1.  3.92 479.5 177197.
18:39:00 0.98 329.10 211.61 -0.34 1650   3.65   477.5 191763.-12.68 -0.26   1.74  -6.78  -1.05 0.28 0.20 0.44  0.10 507.5 439386.  3.66 480.7 129198.
18:39:40 0.98 329.10 211.61 -0.34 1650   3.81   477.0 193939.-14.31  0.07   2.18  -6.75  -0.71 0.37 0.19 0.35  0.09 512.8 217647.  4.17 484.6 176557.
18:40:21 0.98 329.10 211.60 -0.34 1650   4.01   474.5 191120.-13.58 -0.18   2.64  -6.59   0.42 0.23 0.17 0.53  0.11 491.9 362450.  4.03 480.9 226141.
