1981/088   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 1:35:53 0.96 263.12 350.83 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.34 320.7  56091.
 1:38:35 0.96 263.12 350.80 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.09 313.9  53281.
 1:41:17 0.96 263.12 350.77 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.34 322.8  49367.
 1:43:59 0.96 263.12 350.75 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.93 320.5  57378.
 1:46:41 0.96 263.12 350.72 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.49 318.4  47379.
 1:49:23 0.96 263.12 350.70 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.57 313.9  40362.
 1:52:05 0.96 263.12 350.67 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.66 322.7  45446.
 1:54:47 0.96 263.12 350.65 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.89 317.4  45150.
 1:57:29 0.96 263.12 350.62 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.21 313.2  56546.
 2:00:11 0.96 263.11 350.60 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.82 309.7  50020.
 2:02:53 0.96 263.11 350.57 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.12 317.9  35171.
 2:05:35 0.96 263.11 350.55 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.46 312.1  40963.
 2:08:17 0.96 263.11 350.52 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.29 312.2  43906.
 2:10:59 0.96 263.11 350.50 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.80 310.6  41713.
 2:13:41 0.96 263.11 350.47 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.33 311.9  46677.
 2:16:23 0.96 263.11 350.45 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.45 305.6  46213.
 2:19:05 0.96 263.11 350.42 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.59 303.4  38517.
 2:21:47 0.96 263.11 350.40 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.31 302.2  44247.
 2:24:29 0.96 263.11 350.37 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.59 302.7  39940.
 2:27:11 0.96 263.11 350.34 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.63 307.3  48935.
 2:29:53 0.96 263.11 350.32 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.11 307.5  42938.
 2:32:35 0.96 263.11 350.29 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.23 303.8  40157.
 2:35:17 0.96 263.11 350.27 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.02 301.8  37348.
 2:37:59 0.96 263.11 350.25 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.19 303.2  43568.
 2:40:41 0.96 263.11 350.22 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.70 303.7  36990.
 2:43:23 0.96 263.11 350.19 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.26 303.5  45612.
 2:46:05 0.96 263.11 350.17 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.03 304.1  39855.
 2:48:47 0.96 263.11 350.14 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.54 305.2  45995.
 2:51:29 0.96 263.11 350.12 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.01 302.2  38959.
 2:54:11 0.96 263.11 350.09 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.01 303.8  49558.
 2:56:53 0.96 263.10 350.07 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.88 302.4  39082.
 2:59:35 0.96 263.10 350.04 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.95 302.3  40047.
 3:02:17 0.96 263.10 350.02 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.40 302.6  38998.
 3:04:59 0.96 263.10 349.99 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.98 302.1  38699.
 3:07:41 0.96 263.10 349.97 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.26 301.6  36773.
 3:10:23 0.96 263.10 349.94 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.73 302.3  42376.
 3:13:05 0.96 263.10 349.91 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.42 302.8  34944.
 3:15:47 0.96 263.10 349.89 -1.93 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.74 303.5  47837.
 3:18:29 0.96 263.10 349.87 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.47 304.0  39612.
 3:21:11 0.96 263.10 349.84 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.81 304.2  49763.
 3:23:53 0.96 263.10 349.82 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.35 307.8  38299.
 3:26:35 0.96 263.10 349.79 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.86 304.1  49643.
 3:29:17 0.96 263.10 349.76 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.20 303.2  34836.
 3:31:59 0.96 263.10 349.74 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.82 303.0  41509.
 3:34:41 0.96 263.10 349.72 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.23 302.6  41142.
 3:37:23 0.96 263.10 349.69 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.44 302.4  50933.
 3:40:05 0.96 263.10 349.66 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.85 299.2  41902.
 3:42:47 0.96 263.10 349.64 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.12 299.2  46135.
 3:45:29 0.96 263.10 349.61 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.09 299.2  45410.
 3:48:11 0.96 263.10 349.59 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.15 299.9  44471.
 3:50:53 0.96 263.10 349.56 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.26 298.8  47086.
 3:53:35 0.96 263.10 349.54 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.30 299.8  38364.
 3:56:17 0.96 263.09 349.51 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.05 295.7  45936.
 3:58:59 0.96 263.09 349.49 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.47 298.4  43516.
 4:01:41 0.96 263.09 349.46 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.41 303.0  35541.
 4:04:23 0.96 263.09 349.44 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.62 300.1  49351.
 4:07:05 0.96 263.09 349.41 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.91 301.7  40560.
 4:09:47 0.96 263.09 349.39 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.66 301.3  38312.
 4:12:29 0.96 263.09 349.36 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.32 299.6  35694.
 4:15:11 0.96 263.09 349.34 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.43 300.2  38523.
 4:17:53 0.96 263.09 349.31 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.69 298.5  40593.
 4:20:35 0.96 263.09 349.29 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.48 300.6  38676.
 4:23:17 0.96 263.09 349.26 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.38 298.8  40781.
 4:25:59 0.96 263.09 349.23 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.71 299.0  43864.
 4:28:41 0.96 263.09 349.21 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.06 294.8  49123.
 4:31:23 0.96 263.09 349.19 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.99 291.8  38173.
 4:34:05 0.96 263.09 349.16 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.93 293.8  43487.
 4:36:47 0.96 263.09 349.13 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.91 294.2  30285.
 4:39:29 0.96 263.09 349.11 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.24 294.5  43867.
 4:42:11 0.96 263.09 349.08 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.76 293.4  32995.
 4:44:53 0.96 263.09 349.06 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.74 291.7  42974.
 4:47:35 0.96 263.09 349.04 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.97 295.1  29165.
 4:50:17 0.96 263.09 349.01 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.64 288.5  36938.
 4:52:59 0.96 263.08 348.98 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.82 292.4  29821.
 4:55:41 0.96 263.08 348.96 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.38 295.1  42256.
 4:58:23 0.96 263.08 348.93 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.50 293.2  29077.
 5:01:05 0.96 263.08 348.91 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.44 294.7  35528.
 5:03:47 0.96 263.08 348.88 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.30 295.7  31107.
 5:06:29 0.96 263.08 348.86 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.29 295.9  39872.
 5:09:11 0.96 263.08 348.83 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.46 292.4  32800.
 5:11:53 0.96 263.08 348.81 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.38 286.0  31903.
 5:14:35 0.96 263.08 348.78 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.81 292.2  38592.
 5:17:17 0.96 263.08 348.76 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.16 292.3  39667.
 5:19:59 0.96 263.08 348.73 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.29 290.9  33852.
 5:22:41 0.96 263.08 348.70 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.57 289.2  34486.
 5:25:23 0.96 263.08 348.68 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.99 292.1  37133.
 5:28:05 0.96 263.08 348.66 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.49 291.1  45690.
 5:30:47 0.96 263.08 348.63 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.29 291.8  37081.
 5:33:29 0.96 263.08 348.61 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.44 293.2  40869.
 5:36:11 0.96 263.08 348.58 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.98 289.8  49110.
 5:38:53 0.96 263.08 348.55 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.75 288.0  36535.
 5:41:35 0.96 263.08 348.53 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.57 291.5  34297.
 5:44:17 0.96 263.08 348.51 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.73 285.2  33410.
 5:46:59 0.96 263.08 348.48 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.64 290.3  39037.
 5:49:41 0.96 263.08 348.45 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.01 290.3  48766.
 5:52:23 0.96 263.07 348.43 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.83 288.4  48295.
 5:55:05 0.96 263.07 348.40 -1.94 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.26 286.7  33751.
 5:57:47 0.96 263.07 348.38 -1.95 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.30 289.5  35327.
 6:00:29 0.96 263.07 348.35 -1.95 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.41 284.9  35307.
 6:03:11 0.96 263.07 348.33 -1.95 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.52 287.2  44770.
 6:05:53 0.96 263.07 348.30 -1.95 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.42 286.6  36928.
