1981/294   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 1:56:45 0.89  76.38 320.48 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.01 448.9 152726.
 1:58:06 0.89  76.38 320.47 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.89 445.0 156654.
 1:59:27 0.89  76.38 320.46 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.05 445.5 161198.
 2:00:48 0.89  76.38 320.44 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.19 434.4 162209.
 2:02:09 0.89  76.38 320.43 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.48 429.6 152885.
 2:03:30 0.89  76.38 320.42 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.56 429.4 172123.
 2:04:51 0.89  76.38 320.41 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.70 421.5 176482.
 2:06:12 0.89  76.38 320.40 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.93 417.4 224956.
 2:07:33 0.89  76.38 320.38 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.79 419.1 180283.
 2:08:54 0.89  76.38 320.37 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.21 430.9 163225.
 2:10:15 0.89  76.38 320.36 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.42 426.1 155234.
 2:11:36 0.89  76.38 320.34 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.93 424.5 160292.
 2:12:57 0.89  76.38 320.33 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.97 412.0 159496.
 2:14:18 0.89  76.38 320.32 -3.39 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.20 415.7 187686.
 2:15:39 0.89  76.38 320.31 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.16 418.3 154032.
 2:17:00 0.89  76.38 320.29 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.28 414.3 185757.
 2:18:21 0.89  76.38 320.28 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.67 417.5 156264.
 2:19:42 0.89  76.38 320.27 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.36 420.0 180426.
 2:21:03 0.89  76.38 320.26 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.22 419.0 152489.
 2:22:24 0.89  76.38 320.25 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.95 415.6 147051.
 2:23:45 0.89  76.38 320.23 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.79 416.4 152148.
 2:25:06 0.89  76.38 320.22 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.64 414.3 145830.
 2:26:27 0.89  76.38 320.21 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.54 416.2 152710.
 2:27:48 0.89  76.38 320.19 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.15 415.2 142360.
 2:29:09 0.89  76.38 320.18 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.07 414.0 149910.
 2:30:30 0.89  76.38 320.17 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.61 409.3 152590.
 2:31:51 0.89  76.38 320.16 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.11 412.7 151164.
 2:33:12 0.89  76.38 320.14 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.45 413.9 151661.
 2:34:33 0.89  76.38 320.13 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.71 415.8 160994.
 2:35:54 0.89  76.38 320.12 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.08 420.7 175261.
 2:37:15 0.89  76.38 320.11 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.85 415.5 163410.
 2:38:36 0.89  76.38 320.10 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.34 414.0 158521.
 2:39:57 0.89  76.38 320.08 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.48 416.6 162014.
 2:41:18 0.89  76.38 320.07 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.07 408.4 155549.
 2:42:39 0.89  76.38 320.06 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.81 416.2 158307.
 2:44:00 0.89  76.38 320.04 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.78 410.9 188342.
 2:45:21 0.89  76.38 320.03 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.48 413.4 159707.
 2:46:42 0.89  76.38 320.02 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.12 408.3 161406.
 2:48:03 0.89  76.38 320.01 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.96 412.2 148926.
 2:49:24 0.89  76.38 319.99 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.75 406.9 148334.
 2:50:45 0.89  76.38 319.98 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.11 410.3 151443.
 2:52:06 0.89  76.38 319.97 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.56 407.8 152921.
 2:53:27 0.89  76.38 319.96 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 25.79 410.8 153883.
 2:54:48 0.89  76.38 319.95 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.87 418.2 199559.
 2:56:09 0.89  76.38 319.93 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.90 416.6 154188.
 2:57:30 0.89  76.38 319.92 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 25.34 410.6 185428.
 2:58:51 0.89  76.38 319.91 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.61 412.1 157774.
 3:00:12 0.89  76.38 319.89 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.62 409.4 151680.
 3:01:33 0.89  76.38 319.88 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 24.85 410.3 156530.
 3:02:54 0.89  76.38 319.87 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 25.07 407.1 150108.
 3:04:15 0.89  76.38 319.86 -3.40 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.54 397.4 187231.
