1982/055   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:09:49 0.91 261.34 287.42  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.14 423.0  47963.
 0:10:29 0.91 261.34 287.41  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.18 428.1  50588.
 0:11:10 0.91 261.34 287.40  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.40 425.7  49799.
 0:11:50 0.91 261.34 287.40  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.65 427.8  42707.
 0:12:31 0.91 261.34 287.39  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.93 427.0  46167.
 0:13:11 0.91 261.34 287.38  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.40 431.3  45755.
 0:13:52 0.91 261.34 287.38  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.91 430.3  38069.
 0:14:32 0.91 261.34 287.37  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.88 427.5  39748.
 0:15:13 0.91 261.34 287.37  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.75 425.7  47772.
 0:15:53 0.91 261.34 287.36  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.57 429.1  45345.
 0:16:34 0.92 261.34 287.36  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.34 425.3  42808.
 0:17:14 0.92 261.34 287.35  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.69 426.7  37809.
 0:17:55 0.92 261.34 287.34  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.37 426.4  46170.
 0:18:35 0.92 261.34 287.34  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.77 426.5  35584.
 0:19:16 0.92 261.34 287.33  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.08 423.2  42607.
 0:19:56 0.92 261.34 287.32  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.27 425.3  36415.
 0:20:37 0.92 261.34 287.32  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.72 424.1  45326.
 0:21:17 0.92 261.34 287.31  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.39 425.0  37913.
 0:21:58 0.92 261.34 287.30  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.88 426.0  47694.
 0:22:38 0.92 261.34 287.30  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.28 428.2  47158.
 0:23:19 0.92 261.34 287.29  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.34 427.3  47060.
 0:23:59 0.92 261.34 287.28  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.38 429.5  47658.
 0:24:40 0.92 261.34 287.28  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.33 427.6  47038.
 0:25:20 0.92 261.33 287.27  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.06 427.3  44166.
 0:26:01 0.92 261.33 287.26  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.16 424.6  38546.
 0:26:41 0.92 261.33 287.26  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.76 422.2  35577.
 0:27:22 0.92 261.33 287.25  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.38 425.3  39891.
 0:28:02 0.92 261.33 287.25  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.57 423.2  33865.
 0:28:43 0.92 261.33 287.24  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.35 424.1  39365.
 0:29:23 0.92 261.33 287.24  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.20 423.5  34486.
 0:30:04 0.92 261.33 287.23  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.54 423.1  39459.
 0:30:44 0.92 261.33 287.22  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.22 424.0  34944.
 0:31:25 0.92 261.33 287.22  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.20 423.4  39313.
 0:35:27 0.92 261.33 287.18  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.99 424.3  46586.
 0:35:47 0.92 261.33 287.18  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.95 424.3  46430.
 0:36:07 0.92 261.33 287.17  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.86 424.0  38614.
 0:36:49 0.92 261.33 287.17  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.08 423.5  47596.
 0:37:29 0.92 261.33 287.16  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.40 425.0  38965.
 0:38:10 0.92 261.33 287.15  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.36 423.1  47661.
 0:38:50 0.92 261.33 287.15  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.51 424.6  39482.
 0:39:31 0.92 261.33 287.14  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.55 424.7  47220.
 0:40:11 0.92 261.33 287.13  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.66 425.3  39014.
 0:40:52 0.92 261.33 287.13  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.55 424.8  44887.
 0:41:32 0.92 261.33 287.12  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.37 425.6  38917.
 0:42:13 0.92 261.33 287.11  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.54 427.4  44644.
 0:42:53 0.92 261.33 287.11  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.00 430.1  41405.
 0:43:34 0.92 261.33 287.10  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.63 427.9  43705.
 0:44:14 0.92 261.33 287.10  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.98 428.4  41610.
 0:44:55 0.92 261.33 287.09  2.41 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.67 426.5  42815.
 0:45:35 0.92 261.33 287.09  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.39 426.5  36782.
 0:46:16 0.92 261.33 287.08  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.12 429.3  38605.
 0:46:56 0.92 261.33 287.07  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.83 427.4  35366.
 0:47:37 0.92 261.33 287.07  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.62 430.2  37715.
 0:48:17 0.92 261.33 287.06  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.33 429.4  39833.
 0:48:58 0.92 261.33 287.05  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.02 428.8  37468.
 0:49:38 0.92 261.33 287.05  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.71 427.5  34901.
 0:50:19 0.92 261.33 287.04  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.31 428.7  41635.
 0:50:59 0.92 261.33 287.03  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.19 427.2  35788.
 0:51:40 0.92 261.33 287.03  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.37 426.0  43175.
 0:52:20 0.92 261.33 287.02  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.48 425.8  34300.
 0:53:01 0.92 261.33 287.01  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.84 426.4  39037.
 0:53:41 0.92 261.33 287.01  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.44 425.6  34109.
 0:54:22 0.92 261.33 287.00  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.02 424.3  38627.
 0:55:02 0.92 261.33 286.99  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.66 425.4  34918.
 0:55:43 0.92 261.33 286.99  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.59 426.3  42285.
 0:56:23 0.92 261.33 286.98  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.55 427.0  35259.
 0:57:04 0.92 261.33 286.98  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.89 428.2  48516.
 0:57:44 0.92 261.33 286.97  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.26 429.4  50656.
 0:58:25 0.92 261.33 286.97  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.36 428.0  51316.
 0:59:05 0.92 261.33 286.96  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.19 429.1  52251.
 0:59:46 0.92 261.33 286.95  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.58 426.7  57056.
 1:00:26 0.92 261.33 286.95  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.28 428.5  49978.
 1:01:07 0.92 261.33 286.94  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.65 426.6  56104.
 1:01:47 0.92 261.33 286.94  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.13 428.5  49662.
 1:02:28 0.92 261.33 286.93  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.92 426.7  52774.
 1:03:08 0.92 261.33 286.92  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.40 428.8  49178.
 1:03:49 0.92 261.33 286.92  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.03 427.8  53561.
 1:04:29 0.92 261.33 286.91  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.91 429.7  46979.
 1:05:10 0.92 261.33 286.90  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.39 429.2  47554.
 1:05:50 0.92 261.33 286.90  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.69 430.5  48486.
 1:06:31 0.92 261.33 286.89  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.68 429.2  51875.
 1:07:11 0.92 261.33 286.88  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.47 430.2  51553.
 1:07:52 0.92 261.33 286.88  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.47 430.8  52385.
 1:08:32 0.92 261.33 286.87  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.83 430.4  52823.
 1:09:13 0.92 261.33 286.86  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.94 430.4  51862.
 1:09:53 0.92 261.33 286.86  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.93 431.1  50569.
 1:10:34 0.92 261.33 286.85  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.14 429.1  51491.
 1:11:14 0.92 261.33 286.85  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.97 430.3  45102.
 1:11:55 0.92 261.33 286.84  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.10 431.6  54132.
 1:12:35 0.92 261.33 286.83  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.15 429.8  53333.
 1:13:16 0.92 261.33 286.83  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.08 427.9  58498.
 1:13:56 0.92 261.33 286.82  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.41 427.6  47187.
 1:14:37 0.92 261.33 286.82  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.69 427.4  51231.
 1:15:17 0.92 261.33 286.81  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.85 427.9  49679.
 1:15:58 0.92 261.33 286.80  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.07 426.4  49438.
 1:16:38 0.92 261.33 286.80  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.10 428.1  47216.
 1:17:19 0.92 261.33 286.79  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.48 426.8  51166.
 1:17:59 0.92 261.33 286.78  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.54 429.1  49354.
 1:18:40 0.92 261.33 286.78  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.72 428.1  53470.
 1:19:20 0.92 261.33 286.77  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.47 429.1  48997.
 1:20:01 0.92 261.33 286.76  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.07 427.7  53382.
 1:20:41 0.92 261.33 286.76  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.46 429.3  50348.
 1:21:22 0.92 261.33 286.75  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.92 428.3  50517.
 1:22:02 0.92 261.33 286.75  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.02 429.7  53512.
 1:22:43 0.92 261.33 286.74  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.93 429.7  54152.
 1:23:23 0.92 261.33 286.73  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.70 430.0  50429.
 1:24:04 0.92 261.33 286.73  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.94 430.2  52937.
 1:24:44 0.92 261.33 286.72  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.31 429.7  50065.
 1:25:25 0.92 261.33 286.71  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.72 430.2  53025.
 1:26:05 0.92 261.33 286.71  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.33 432.4  54506.
 1:26:46 0.92 261.33 286.70  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.22 433.1  54892.
 1:27:26 0.92 261.33 286.70  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.38 432.8  53431.
 1:28:07 0.92 261.33 286.69  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.67 432.7  57553.
 1:28:47 0.92 261.33 286.68  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.11 432.8  57702.
 1:29:28 0.92 261.33 286.68  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.51 433.0  60171.
 1:30:08 0.92 261.33 286.67  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.23 432.8  57663.
 1:30:49 0.92 261.33 286.67  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.15 433.1  54714.
 1:31:29 0.92 261.33 286.66  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.81 433.4  60905.
 1:32:10 0.92 261.33 286.65  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.46 432.6  58797.
 1:32:50 0.92 261.33 286.65  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.63 432.6  57514.
 1:33:31 0.92 261.33 286.64  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.58 432.3  60421.
 1:34:11 0.92 261.33 286.63  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.87 433.0  59024.
 1:34:52 0.92 261.33 286.63  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.78 433.2  59398.
 1:35:32 0.92 261.33 286.62  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 31.91 432.1  55955.
 1:36:13 0.92 261.33 286.61  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.24 432.3  55383.
 1:36:53 0.92 261.33 286.61  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.83 432.3  56939.
 1:37:34 0.92 261.33 286.60  2.40 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.44 432.9  56231.
