1982/058   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 2:48:08 0.93 260.68 245.78  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 77.52 386.9  62471.
 2:53:32 0.93 260.68 245.73  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 78.04 384.0  65924.
 2:58:56 0.93 260.68 245.69  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 80.08 385.2  61311.
 3:04:20 0.93 260.68 245.63  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 72.48 377.8  71369.
 3:09:44 0.93 260.68 245.58  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 65.05 377.5  87211.
 3:15:08 0.93 260.68 245.53  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 66.73 378.8  58501.
 3:20:32 0.93 260.68 245.48  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 71.95 377.0  50647.
 3:25:56 0.93 260.68 245.43  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 72.03 376.5  62328.
 3:31:20 0.93 260.68 245.38  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 74.25 380.0  49305.
 3:36:44 0.93 260.68 245.33  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 88.71 392.7  52316.
 3:42:08 0.93 260.67 245.28  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.102.21 397.6  44722.
 3:47:32 0.93 260.67 245.23  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 95.17 403.1  35486.
 3:52:56 0.93 260.67 245.18  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.103.00 409.8  46144.
 3:58:20 0.93 260.67 245.13  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 88.57 399.8  64423.
 4:03:44 0.93 260.67 245.08  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.106.89 389.8  70586.
 4:09:08 0.93 260.67 245.03  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 57.60 387.6  83658.
 4:14:32 0.93 260.67 244.98  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.37 397.8  52031.
 4:19:56 0.93 260.67 244.93  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.71 397.7  28197.
 4:25:20 0.93 260.67 244.88  2.11 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.21 395.1  29327.
 4:30:44 0.93 260.67 244.83  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.61 395.3  32059.
 4:36:08 0.93 260.67 244.78  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.35 396.0  27329.
 4:41:32 0.93 260.67 244.73  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.57 393.4  30168.
 4:46:56 0.93 260.66 244.68  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.00 399.0  43731.
 4:52:20 0.93 260.66 244.63  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.54 398.1  35483.
 4:57:44 0.93 260.66 244.58  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 32.68 402.8  45004.
 5:03:08 0.93 260.66 244.53  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.01 400.4  61786.
 5:08:32 0.93 260.66 244.48  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.57 396.9  73756.
 5:13:56 0.93 260.66 244.43  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.50 388.7  58771.
 5:19:20 0.93 260.66 244.38  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.25 390.0  74685.
 5:24:44 0.93 260.66 244.33  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.93 391.6  50946.
 5:30:08 0.93 260.66 244.28  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.56 404.2 256476.
 5:35:32 0.93 260.66 244.23  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.104.49 427.1  26900.
 5:40:56 0.93 260.66 244.18  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.28 421.0  53470.
 5:46:20 0.93 260.66 244.12  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 63.28 437.9  80981.
 5:51:44 0.93 260.65 244.08  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.114.90 434.2  52420.
 5:57:08 0.93 260.65 244.02  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.113.66 436.7  62263.
 6:02:32 0.93 260.65 243.98  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 86.37 433.7  67256.
 6:07:56 0.93 260.65 243.93  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 85.80 434.1  69335.
 6:13:20 0.93 260.65 243.87  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 85.42 443.1  46122.
 6:18:44 0.93 260.65 243.83  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 79.71 432.2  74627.
 6:24:08 0.93 260.65 243.77  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.100.62 431.4  51576.
 6:29:32 0.93 260.65 243.72  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 99.36 430.2  51979.
 6:34:56 0.93 260.65 243.68  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 91.30 433.5  45634.
 6:40:20 0.93 260.65 243.62  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 86.19 434.3  35061.
 6:45:44 0.93 260.65 243.57  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 89.08 430.5  47262.
 6:51:08 0.93 260.65 243.52  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 92.88 427.6  47223.
 6:56:32 0.93 260.64 243.47  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 91.02 428.7  48171.
 7:01:56 0.93 260.64 243.42  2.10 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 88.92 427.1  44874.
 7:07:20 0.93 260.64 243.37  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 89.31 427.7  52469.
 7:12:44 0.93 260.64 243.32  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 82.35 427.1  56803.
 7:18:08 0.93 260.64 243.27  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 77.90 430.3  61575.
 7:23:32 0.93 260.64 243.22  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 75.88 424.7  64384.
 7:28:56 0.93 260.64 243.17  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 50.02 429.3 100634.
 7:34:20 0.93 260.64 243.12  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.44 429.9  89901.
 7:39:44 0.93 260.64 243.07  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.34 415.3  90492.
 7:45:08 0.93 260.64 243.02  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.21 412.9  81156.
 7:50:32 0.93 260.64 242.97  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 25.03 408.5  58407.
 7:55:56 0.93 260.64 242.92  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 25.28 407.0  62815.
 8:01:20 0.93 260.63 242.87  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.12 405.1  58570.
 8:06:44 0.93 260.63 242.82  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 27.71 398.5  53291.
 8:12:08 0.93 260.63 242.77  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 65.79 377.6  29054.
 8:17:32 0.93 260.63 242.72  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.52 384.1  33258.
 8:22:56 0.93 260.63 242.67  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 59.92 381.8  29464.
 8:28:20 0.93 260.63 242.62  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 55.26 391.1  30698.
 8:33:44 0.93 260.63 242.57  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 51.51 409.9  26274.
 8:39:08 0.93 260.63 242.52  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.35 411.8  26241.
 8:44:32 0.93 260.63 242.47  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.39 408.1  36386.
 8:49:56 0.93 260.63 242.42  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.46 411.1  28002.
 8:55:20 0.93 260.63 242.37  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 26.49 423.3  32403.
 9:00:44 0.93 260.63 242.32  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.09 423.7  42210.
 9:06:08 0.93 260.62 242.27  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 74.47 436.9  23814.
 9:11:32 0.93 260.62 242.22  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 50.13 421.6  29707.
 9:16:56 0.93 260.62 242.17  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.13 418.0  23853.
 9:22:20 0.93 260.62 242.11  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.88 423.8  36029.
 9:27:44 0.93 260.62 242.07  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.78 416.3  25799.
 9:33:08 0.93 260.62 242.01  2.09 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.52 420.6  28973.
 9:38:32 0.93 260.62 241.97  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 58.95 423.6  27969.
 9:43:56 0.93 260.62 241.92  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 83.90 425.0  23389.
 9:54:43 0.93 260.62 241.82  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 75.78 419.5  13793.
10:00:07 0.93 260.62 241.76  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 56.76 420.7  17594.
10:05:31 0.93 260.62 241.71  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 63.94 417.3  12026.
10:10:55 0.93 260.61 241.67  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 62.83 419.6  14569.
10:16:20 0.93 260.61 241.61  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 72.24 418.3  13871.
10:21:44 0.93 260.61 241.56  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.77 413.8  16408.
10:27:08 0.93 260.61 241.51  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.97 411.1  19601.
10:32:32 0.93 260.61 241.46  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 29.29 404.8  28278.
10:37:55 0.93 260.61 241.41  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.19 408.1  19315.
10:48:43 0.93 260.61 241.31  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.68 401.0  19419.
10:54:07 0.93 260.61 241.26  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.48 408.5  22729.
10:59:32 0.93 260.61 241.21  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.67 408.2  18867.
11:04:56 0.93 260.61 241.16  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.99 409.0  23866.
11:10:20 0.93 260.61 241.11  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.32 411.7  19429.
11:15:44 0.93 260.60 241.06  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.11 435.5  21170.
11:21:07 0.93 260.60 241.01  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.90 425.8  21219.
11:31:55 0.93 260.60 240.91  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.54 444.5  19091.
11:37:19 0.93 260.60 240.86  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.27 445.8  17022.
11:42:44 0.93 260.60 240.81  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.00 431.8  15995.
11:48:08 0.93 260.60 240.76  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.86 426.7  18032.
11:53:32 0.93 260.60 240.71  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.95 419.0  13215.
11:58:56 0.93 260.60 240.66  2.08 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.73 420.2  20546.
12:09:43 0.93 260.60 240.56  2.07 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 11.40 448.9  25416.
12:20:31 0.93 260.59 240.46  2.07 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.54 437.9  15843.
12:25:56 0.93 260.59 240.41  2.07 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 10.51 426.9  24048.
12:31:20 0.93 260.59 240.36  2.07 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 10.99 421.4  20959.
12:36:44 0.93 260.59 240.31  2.07 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.96 440.0  22846.
12:42:08 0.93 260.59 240.26  2.07 1719  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 12.32 416.5  25429.
