1974/353   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 1:08:08 0.98 357.22  93.95 -1.03 1622   3.98   817.1 336176. -0.88  3.24  -3.20  -4.72   0.60 0.85 0.98 2.03  0.20 797.61189819.  3.97 818.4 259149.
 1:09:19 0.98 357.22  93.94 -1.03 1622   4.22   826.2 271727. -1.73 -0.38  -0.44  -5.54   1.41 0.74 0.87 0.89  0.23 815.41289196.  4.37 825.8 349846.
 1:10:02 0.98 357.22  93.93 -1.03 1622   4.24   784.5 324534. -0.97  0.62  -2.48  -5.58   0.11 0.50 0.40 0.36  0.23 790.61194809.  4.15 784.5 339295.
 1:10:40 0.98 357.22  93.93 -1.03 1622   4.28   806.4 353796.  0.00  0.00   0.82  -5.74  -0.95 1.90 0.58 0.59  0.19 794.41058425.  4.30 809.6 376353.
 1:10:50 0.98 357.22  93.92 -1.03 1622   3.96   793.2 338931. -0.08  2.35   1.17  -5.43  -1.67 1.74 0.65 0.68  0.18 775.3 891273.  4.26 787.3 353900.
 1:11:31 0.98 357.22  93.92 -1.03 1622   4.30   783.7 369389. -0.78  3.27  -0.33  -3.89  -3.99 0.87 0.95 0.90  0.16 799.8 855722.  4.51 790.1 465647.
 1:12:11 0.98 357.22  93.91 -1.03 1622   3.77   793.0 255511. -2.21  5.46   2.50  -4.76  -1.57 0.95 1.31 1.84  0.17 791.31267782.  3.82 792.1 325366.
 1:12:52 0.98 357.22  93.91 -1.03 1622   4.00   754.2 309097. -0.02  2.23   4.05  -4.96  -0.69 0.39 0.41 0.53  0.19 805.4 737218.  4.02 756.9 341842.
 1:13:32 0.98 357.22  93.90 -1.03 1622   4.14   744.0 336956. -0.96  2.60   3.27  -5.23  -2.05 0.70 0.55 0.45  0.22 800.61192937.  4.42 741.0 340958.
 1:14:13 0.98 357.22  93.89 -1.03 1622   3.90   759.8 364555. -0.68  2.47   2.50  -5.22  -2.44 1.06 0.77 0.80  0.23 783.31337013.  3.96 756.0 309981.
 1:14:23 0.98 357.23  93.90 -1.16 1622  -1.00    -1.0     -1. -1.00 -1.00   2.87  -4.92  -2.35 1.58 1.01 0.96 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:14:53 0.98 357.22  93.89 -1.03 1622   4.16   770.3 300210. -0.64  4.17   6.21  -2.34  -0.74 0.52 1.06 0.49  0.23 794.01132230.  3.96 766.6 261748.
 1:15:34 0.98 357.22  93.88 -1.03 1622   4.31   728.0 268193. -3.78  2.16   6.39  -1.43  -1.00 0.32 0.78 1.43  0.17 789.8 956762.  4.44 730.9 350106.
 1:16:14 0.98 357.22  93.87 -1.03 1622   4.14   731.4 323598. -3.10  3.18   5.89  -1.00   1.94 0.36 1.48 1.73  0.20 795.01266119.  4.31 726.6 336228.
 1:16:55 0.98 357.22  93.87 -1.03 1622   4.17   708.9 272507. -1.48 -0.67   5.82   0.40   2.70 0.38 1.24 0.90  0.21 751.41175266.  4.59 713.0 308370.
 1:17:35 0.98 357.22  93.86 -1.03 1622   4.10   770.1 342517.  0.00  0.00   5.86   1.05   2.06 0.50 0.56 0.75  0.21 831.41471733.  4.40 764.8 346987.
 1:17:45 0.98 357.22  93.86 -1.03 1622   4.26   740.4 317517. -5.97 -0.55   6.01   0.83   1.76 0.34 0.39 0.47  0.21 799.61368406.  4.57 736.3 321416.
 1:17:56 0.98 357.22  93.86 -1.03 1622   4.26   740.4 317465. -5.97 -0.55   5.94   0.67   1.53 0.34 0.46 0.43  0.21 799.61365496.  4.56 736.3 320428.
 1:18:16 0.98 357.22  93.86 -1.03 1622   4.36   707.2 272715. -2.08  0.56   5.67   0.92   2.00 0.50 0.65 0.97  0.22 751.81214975.  4.31 712.7 325054.
 1:18:56 0.98 357.22  93.85 -1.03 1622   4.08   776.2 353796.  0.00  0.00   5.94  -1.92   1.32 0.34 0.84 0.42  0.20 829.71439093.  4.19 771.3 336904.
 1:19:06 0.98 357.22  93.85 -1.03 1622  -1.00    -1.0     -1. -1.00 -1.00   5.51  -2.75   1.48 0.44 0.48 0.58 -1.00  -1.0     -1.  4.33 742.6 309773.
 1:19:17 0.98 357.22  93.85 -1.03 1622   4.24   746.9 328120. -4.37  0.54   5.42  -2.83   1.66 0.43 0.47 0.58  0.21 798.51344498.  4.31 742.8 306395.
 1:19:37 0.98 357.22  93.84 -1.03 1622   4.26   739.6 299222. -2.57  0.96   4.84  -3.37   2.02 0.60 0.84 0.57  0.19 788.0 870899.  4.37 742.7 315490.
 1:20:17 0.98 357.22  93.84 -1.03 1622   4.03   758.8 333786. -1.15  1.03   3.11  -4.99  -0.51 0.97 0.84 1.46  0.20 797.41372148.  4.36 767.5 384825.
 1:20:58 0.98 357.22  93.83 -1.03 1622   4.11   748.6 294960. -1.25  1.54   4.68  -3.47   0.08 1.02 1.14 0.78  0.16 785.6 997303.  4.22 749.9 335553.
 1:21:38 0.98 357.22  93.82 -1.03 1622   4.31   752.8 333266. -0.75  2.04   1.81  -4.58   0.33 2.04 1.67 1.23  0.19 768.61021419.  4.18 748.5 313047.
 1:22:19 0.98 357.22  93.82 -1.03 1622   4.28   789.6 364919. -0.85  2.65  -1.64  -2.90  -2.72 1.26 1.53 1.68  0.19 792.9 631189.  4.28 784.0 326457.
 1:22:59 0.98 357.22  93.81 -1.03 1622   4.26   818.9 390647. -1.41  2.73  -2.13  -5.85  -1.33 0.64 0.29 0.19  0.19 789.21437637.  4.38 815.5 356083.
 1:23:40 0.98 357.22  93.80 -1.03 1622   4.17   803.7 290802. -0.10  2.56  -0.34  -5.94  -0.29 1.64 0.69 0.66  0.20 792.7 839298.  4.12 800.8 249222.
 1:24:20 0.98 357.22  93.80 -1.03 1622   4.42   744.8 327081. -2.61  1.45   0.00   0.00   0.00 0.00 0.00 0.00  0.19 801.31160089.  4.28 738.3 287320.
 1:25:01 0.98 357.22  93.79 -1.03 1622   3.89   738.7 302548. -3.07  1.69   0.00   0.00   0.00 0.00 0.00 0.00  0.14 791.9 963831.  4.08 741.1 306602.
 1:25:41 0.98 357.22  93.79 -1.03 1622   4.70   760.1 376457. -0.83  2.76   3.94  -4.63   0.98 0.95 0.74 0.76  0.24 790.61329321.  4.91 755.7 386489.
 1:26:22 0.98 357.22  93.78 -1.03 1622   4.47   755.4 361021. -1.35  0.98   0.66  -4.43   3.32 2.15 1.09 0.84  0.25 792.9 847614.  4.71 752.0 344700.
 1:27:02 0.98 357.22  93.77 -1.03 1622   4.39   771.8 335293. -2.19 -2.29   3.39  -3.87  -0.37 2.35 1.91 1.63  0.21 785.71195224.  5.05 771.2 426302.
 1:27:12 0.98 357.22  93.78 -1.16 1622  -1.00    -1.0     -1. -1.00 -1.00   4.17  -3.34  -0.15 1.77 1.81 1.81 -1.00  -1.0     -1. -1.00  -1.0     -1.
 1:27:43 0.98 357.22  93.77 -1.03 1622   4.28   759.8 359046.  0.00  0.00   0.47  -4.49  -3.32 1.43 0.57 0.59  0.27 778.41345953.  4.11 753.8 298390.
 1:28:23 0.98 357.22  93.76 -1.03 1622   4.40   764.6 358994. -0.84  3.34  -1.10  -3.09  -4.92 1.16 0.91 0.63  0.23 796.51481505.  4.89 767.3 443142.
 1:29:04 0.98 357.22  93.75 -1.03 1622   4.58   785.5 330927. -1.10  4.29   0.00  -4.48  -4.37 0.38 0.24 0.31  0.21 785.5 999590.  4.82 778.8 338152.
 1:29:44 0.98 357.22  93.75 -1.03 1622   4.28   790.9 253016. -1.54  4.82   1.51  -4.08  -3.59 2.60 0.67 1.03  0.16 802.1 819547.  4.54 787.6 303484.
 1:30:25 0.98 357.22  93.74 -1.03 1622   4.30   738.8 322091. -1.55  3.64   5.98  -1.94  -0.55 0.67 1.14 1.30  0.22 793.1 829942.  4.30 741.1 320480.
 1:31:05 0.98 357.22  93.74 -1.03 1622   4.38   737.6 283162. -3.70  1.38   6.68  -0.83   1.06 0.23 0.33 0.27  0.18 802.71348448.  4.50 736.4 304108.
 1:31:46 0.98 357.22  93.73 -1.03 1622   4.32   726.8 278536. -4.09  1.59   6.51  -0.69   1.18 0.20 0.24 0.24  0.17 811.71643668.  4.57 728.4 379888.
 1:32:26 0.98 357.22  93.72 -1.03 1622   4.39   733.8 313203. -3.90  1.49   6.70  -0.99   1.28 0.20 0.50 0.33  0.18 793.41062791.  4.94 730.8 332330.
 1:33:07 0.98 357.22  93.72 -1.03 1622   4.18   736.8 265126. -3.63  1.35   6.56  -1.61   1.34 0.28 0.33 0.57  0.15 797.0 804370.  4.35 742.0 330355.
 1:33:47 0.98 357.22  93.71 -1.03 1622   3.86   741.5 344025. -3.07  1.80   6.79  -1.36   0.50 0.18 0.18 0.27  0.16 807.71310194.  4.31 737.2 330927.
 1:34:28 0.98 357.22  93.70 -1.03 1622   4.36   709.5 254419. -0.93  2.05   0.00   0.00   0.00 0.00 0.00 0.00  0.16 781.01453438.  4.57 713.6 300262.
 1:35:08 0.98 357.22  93.70 -1.03 1622   4.09   764.4 311644.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  0.16 822.21644499.  4.52 765.2 289918.
 1:35:18 0.98 357.22  93.70 -1.03 1622  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.67 736.7 266062.
 1:35:49 0.98 357.22  93.69 -1.03 1622   4.41   708.9 237839.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  0.18 768.4 953643.  4.40 710.9 270740.
 1:35:59 0.98 357.22  93.69 -1.03 1622   4.26   734.0 255927. -4.21  2.30   6.81  -1.10   0.38 0.18 0.33 0.35  0.17 795.61023498.  4.11 734.1 225937.
 1:36:09 0.98 357.22  93.69 -1.03 1622  -1.00    -1.0     -1. -1.00 -1.00   6.79  -0.87   0.30 0.20 0.44 0.31 -1.00  -1.0     -1.  4.11 734.0 226041.
 1:36:29 0.98 357.22  93.68 -1.03 1622   4.21   739.5 312580. -3.74  1.62   6.83  -0.64  -0.02 0.21 0.27 0.37  0.16 793.81352814.  4.53 736.8 298962.
 1:37:10 0.98 357.22  93.68 -1.03 1622   4.33   734.0 284617. -4.36  2.28   6.97  -0.55   0.81 0.21 0.19 0.24  0.11 792.9 915598.  4.11 734.5 224481.
 1:37:50 0.98 357.22  93.67 -1.03 1622   4.08   738.1 315958. -4.23  1.53   6.81  -0.03   0.79 0.23 0.36 0.29  0.15 802.01307075.  4.31 735.5 285864.
 1:38:31 0.98 357.22  93.67 -1.03 1622   4.29   730.7 275989. -4.58  1.53   0.00   0.00   0.00 0.00 0.00 0.00  0.15 803.2 749276.  4.37 731.8 235188.
 1:39:11 0.98 357.22  93.66 -1.03 1622   4.12   737.1 299118. -3.97  1.22   0.00   0.00   0.00 0.00 0.00 0.00  0.18 801.71166742.  4.15 736.6 264243.
 1:39:52 0.98 357.22  93.65 -1.03 1622   4.19   734.9 287683. -4.73  1.58   0.00   0.00   0.00 0.00 0.00 0.00  0.15 789.6 752187.  4.30 738.3 332954.
 1:40:32 0.98 357.22  93.65 -1.03 1622   4.18   733.6 278588. -4.65  1.47   6.58   0.72   0.84 0.15 0.15 0.16  0.16 776.9 975473.  4.47 732.2 294960.
 1:41:13 0.98 357.22  93.64 -1.03 1622  -1.00    -1.0     -1. -1.00 -1.00   6.52  -0.03   0.81 0.44 0.48 0.24 -1.00  -1.0     -1.  4.15 724.5 299690.
 1:41:53 0.98 357.22  93.63 -1.03 1622   3.99   738.9 293713. -4.18  1.66   6.89  -0.91   0.64 0.20 0.22 0.27  0.19 813.2 916013.  4.19 736.4 282382.
 1:42:34 0.98 357.22  93.63 -1.03 1622   4.22   735.7 266529. -4.14  1.96   6.84  -1.33   0.62 0.24 0.20 0.13  0.15 795.9 998966.  4.09 733.6 212683.
 1:43:14 0.98 357.22  93.62 -1.03 1622   4.04   736.7 298910. -3.93  1.65   6.84  -1.06   0.54 0.21 0.23 0.28  0.14 788.71150526.  4.25 735.2 248598.
 1:43:55 0.98 357.22  93.62 -1.03 1622   4.31   707.9 242049.  0.00  0.00   0.00   0.00   0.00 0.00 0.00 0.00  0.13 799.8 909153.  4.67 711.4 300781.
 1:44:05 0.98 357.22  93.61 -1.03 1622   4.16   733.1 260552. -3.65  1.55   0.00   0.00   0.00 0.00 0.00 0.00  0.13 827.9 985037.  4.46 738.8 320168.
 1:44:35 0.98 357.22  93.61 -1.03 1622   4.26   739.4 308318. -3.70  1.58   6.65  -1.86   0.87 0.17 0.16 0.20  0.21 794.11150734.  4.40 731.6 294180.
 1:45:16 0.98 357.22  93.60 -1.03 1622   4.15   708.8 246831.  0.00  0.00   6.47  -0.56   1.15 0.27 1.48 0.69  0.17 749.71178384.  4.34 711.2 273390.
 1:45:26 0.98 357.22  93.60 -1.03 1622   3.99   735.3 266374.  0.00  0.00   6.42   0.30   1.43 0.28 1.59 0.64  0.17 777.61268614.  4.06 734.4 231134.
 1:45:36 0.98 357.22  93.60 -1.03 1622   4.00   734.0 265802. -3.67  1.64   6.43   1.16   1.59 0.26 1.41 0.58  0.17 776.31267366.  4.07 734.4 231602.
 1:45:56 0.98 357.22  93.60 -1.03 1622   4.04   741.6 310293. -6.43  1.06   6.35   1.34   1.64 0.28 1.04 1.09  0.15 800.51203125.  4.50 739.0 334513.
 1:46:37 0.98 357.22  93.59 -1.04 1622   4.28   739.7 282486. -6.70  1.49   6.32  -0.09   1.29 0.34 2.00 0.77  0.17 803.7 880670.  4.29 744.4 295480.
 1:47:17 0.98 357.22  93.58 -1.04 1622   4.26   757.1 324638. -7.97  1.37   6.45   2.41   0.90 0.25 0.59 0.35  0.11 825.9 957594.  4.60 759.3 306966.
 1:47:58 0.98 357.22  93.58 -1.04 1622   4.13   744.8 279627. -6.91  1.08   6.64   1.51   1.00 0.26 0.69 0.51  0.14 820.81088363.  4.06 748.4 303744.
 1:48:38 0.98 357.21  93.57 -1.04 1622   4.02   742.6 284201. -6.02  1.15   6.30   2.59   1.23 0.34 0.64 0.64  0.19 788.71540549.  4.19 742.5 283318.
 1:49:19 0.98 357.21  93.56 -1.04 1622   4.10   750.7 247455. -6.82  1.73   6.86   1.96   0.22 0.25 0.31 0.16  0.14 811.71264871.  4.36 750.8 321675.
 1:50:00 0.98 357.21  93.56 -1.04 1622   4.20   743.7 288151. -6.20  1.39   6.91   0.83   0.83 0.37 0.80 0.50  0.15 799.01176721.  4.56 741.8 296831.
 1:50:40 0.98 357.21  93.55 -1.04 1622   4.41   736.2 260241. -5.12  1.66   6.85   0.96   1.16 0.40 0.81 0.57  0.13 825.61022459.  4.37 736.0 220583.
 1:51:20 0.98 357.21  93.55 -1.04 1622   4.11   744.4 286696. -6.23  1.27   0.00   0.00   0.00 0.00 0.00 0.00  0.15 804.11250526.  4.04 745.0 267725.
 1:52:01 0.98 357.21  93.54 -1.04 1622   3.88   742.4 311592. -6.14  1.60   6.29   2.91   2.25 0.18 0.26 0.29  0.15 798.0 968197.  3.85 744.4 305459.
 1:52:41 0.98 357.21  93.53 -1.04 1622   3.79   749.3 321831. -6.15  0.83   6.36   2.84   1.87 0.29 0.37 0.34  0.16 807.41344498.  3.72 747.8 289710.
 1:53:22 0.98 357.21  93.53 -1.04 1622   3.76   741.8 288619. -6.29  1.43   6.71   2.10   1.21 0.37 0.91 0.38  0.20 802.8 747405.  3.73 748.7 339399.
 1:54:02 0.98 357.21  93.52 -1.04 1622   3.76   741.9 287424. -5.69  1.49   7.09   1.35   1.08 0.24 0.54 0.44  0.17 801.41373604.  3.76 741.0 264087.
 1:58:46 0.98 357.21  93.48 -1.04 1622   4.40   715.7 236280.  0.00  0.00   7.10  -0.45   0.89 0.17 0.28 0.25  0.15 791.71080879. -1.00  -1.0     -1.
 1:58:56 0.98 357.21  93.47 -1.04 1622  -1.00    -1.0     -1. -1.00 -1.00   7.14  -0.62   0.83 0.13 0.11 0.20 -1.00  -1.0     -1.  4.14 741.0 213151.
 1:59:07 0.98 357.21  93.47 -1.04 1622   4.24   742.5 254471.  0.00  0.00   7.13  -0.71   0.80 0.16 0.17 0.23  0.14 820.81156555.  4.15 741.0 213567.
 1:59:17 0.98 357.21  93.47 -1.04 1622  -1.00    -1.0     -1. -1.00 -1.00   7.11  -0.73   0.78 0.16 0.17 0.21 -1.00  -1.0     -1.  4.13 741.0 212735.
 1:59:36 0.98 357.21  93.47 -1.04 1622   4.22   740.7 196986.  0.00  0.00   7.11  -0.65   0.74 0.17 0.24 0.20  0.14 794.41446993.  4.50 735.4 243556.
 1:59:46 0.98 357.21  93.47 -1.04 1622   4.23   739.4 196623. -3.97  1.60   7.07  -0.72   0.79 0.16 0.33 0.21  0.14 793.01446993.  4.50 735.4 243556.
 2:00:06 0.98 357.21  93.46 -1.04 1622   4.29   734.9 228743. -4.23  1.57   7.07  -0.75   0.82 0.20 0.35 0.26  0.16 814.21128488.  4.09 740.5 216685.
 2:00:47 0.98 357.21  93.46 -1.04 1622   3.94   737.6 202860. -3.95  1.66   6.78  -1.77   1.41 0.27 0.45 0.51  0.11 816.81142002.  4.28 735.3 254887.
 2:01:27 0.98 357.21  93.45 -1.04 1622   4.12   743.5 259045. -3.10  1.15   7.09  -0.79   0.59 0.32 0.58 0.55  0.13 799.01061960.  4.02 742.2 198650.
 2:02:08 0.98 357.21  93.44 -1.04 1622   4.26   744.8 266270. -3.82  1.82   7.23  -0.83   0.43 0.17 0.25 0.30  0.13 811.21471941.  4.01 735.5 233629.
 2:02:48 0.98 357.21  93.44 -1.04 1622  -1.00    -1.0     -1. -1.00 -1.00   7.21  -0.60   0.05 0.17 0.32 0.28 -1.00  -1.0     -1.  4.06 739.7 211851.
 2:03:29 0.98 357.21  93.43 -1.04 1622   4.15   740.3 191893. -4.11  2.26   7.32   0.26  -0.21 0.18 0.21 0.22  0.19 799.21668616.  3.70 732.1 155822.
 2:04:09 0.98 357.21  93.43 -1.04 1622   4.00   741.5 245012. -4.57  2.29   7.31   0.05   0.24 0.18 0.22 0.20  0.15 801.4 940130.  4.23 742.6 221727.
 2:04:50 0.98 357.21  93.42 -1.04 1622  -1.00    -1.0     -1. -1.00 -1.00   7.27   0.27   0.38 0.20 0.15 0.25 -1.00  -1.0     -1.  4.10 740.0 230770.
 2:05:30 0.98 357.21  93.41 -1.04 1622   4.05   741.0 250313. -4.58  2.14   7.30  -0.09   0.42 0.16 0.21 0.22  0.16 799.7 969444.  4.03 739.8 217673.
 2:06:11 0.98 357.21  93.41 -1.04 1622   4.09   745.8 275989. -4.39  2.07   7.23  -0.26   0.47 0.16 0.16 0.20  0.12 783.3 916013.  4.17 742.0 255979.
 2:22:18 0.98 357.21  93.26 -1.04 1622   4.09   744.0 248598.  0.00  0.00   6.92  -1.05   2.48 0.24 0.33 0.46  0.12 806.3 869028.  4.07 741.6 208265.
 2:22:55 0.98 357.21  93.25 -1.04 1622   4.27   745.9 281810.  0.00  0.00   6.96  -1.10   2.03 0.32 0.60 0.74  0.14 811.51287117.  4.18 746.8 214710.
 2:23:16 0.98 357.21  93.25 -1.04 1622   4.26   746.0 281394.  0.00  0.00   6.67  -1.05   2.99 0.50 0.60 0.79  0.14 811.41283167.  4.21 746.8 216425.
 2:23:36 0.98 357.21  93.24 -1.04 1622   3.93   750.8 236228. -3.63  0.88   5.96  -1.41   4.18 0.56 0.51 0.68  0.12 823.21438053.  4.17 752.9 306498.
 2:24:16 0.98 357.21  93.24 -1.04 1622   4.04   748.0 294908. -3.91  0.73   5.98  -0.85   4.51 0.34 0.48 0.48  0.18 796.11472149.  4.23 745.0 277548.
 2:24:57 0.98 357.21  93.23 -1.04 1622   3.97   758.0 243660. -3.82  0.24   5.90  -1.02   4.58 0.32 0.37 0.29  0.15 818.41199798.  4.42 760.7 296727.
 2:25:37 0.98 357.21  93.22 -1.04 1622   3.88   757.8 290698.  0.00  0.00   5.96  -1.08   4.56 0.41 0.36 0.51  0.14 796.31148031.  4.13 758.0 244440.
 2:26:18 0.98 357.21  93.22 -1.04 1622   3.88   758.1 241166. -3.45 -0.15   5.55  -1.09   4.80 0.40 0.26 0.34  0.15 800.6 939506.  4.34 758.1 334305.
 2:26:58 0.98 357.21  93.21 -1.04 1622   4.08   756.4 266478. -3.88 -0.69   6.60   0.06   1.74 0.70 1.20 2.84  0.13 809.51518303.  4.17 758.4 243608.
 2:27:39 0.98 357.21  93.21 -1.04 1622   4.25   742.2 241685. -5.10  3.50   7.49   0.95  -0.47 0.22 0.58 0.98  0.14 822.21663002.  4.21 742.6 206342.
 2:28:19 0.98 357.21  93.20 -1.04 1622   4.33   748.6 311436. -4.17  1.23   7.25   0.83   0.54 0.28 1.02 1.10  0.15 805.2 998134.  4.27 745.9 286800.
 2:29:00 0.98 357.21  93.19 -1.04 1622   4.14   743.6 256550. -4.57  2.11   7.39   0.27   0.59 0.28 0.73 0.55  0.20 816.41466536. -1.00  -1.0     -1.
 2:29:40 0.98 357.21  93.19 -1.04 1622   4.29   747.4 299274.  0.00  0.00   7.04  -0.75   1.89 0.37 1.14 0.66  0.16 803.31479426.  4.53 742.0 279211.
 2:30:21 0.98 357.21  93.18 -1.04 1622   4.25   719.9 259669.  0.19  0.98   6.86   1.20   1.92 0.40 1.81 0.93  0.13 795.91264040.  4.75 719.2 293972.
 2:31:01 0.98 357.21  93.17 -1.04 1622   3.83   771.8 325158.  0.00  0.00   6.74   2.45   1.80 0.49 1.01 1.69  0.13 832.91750528. -1.00  -1.0     -1.
 2:31:22 0.98 357.21  93.17 -1.04 1622   3.97   742.1 301665. -5.92  2.37   6.39   1.73   3.16 0.58 1.07 1.63  0.14 801.11624541.  4.25 739.4 304316.
 2:31:42 0.98 357.21  93.17 -1.04 1622   4.28   749.3 280771. -4.83 -0.03   5.96   2.46   3.54 0.28 1.22 0.76  0.16 799.6 872562.  4.43 752.4 324430.
 2:32:22 0.98 357.21  93.16 -1.04 1622   4.04   757.2 299274. -6.76  0.35   6.02   2.70   3.55 0.55 0.54 0.52  0.18 802.21470486.  4.28 758.4 299274.
 2:33:03 0.98 357.21  93.16 -1.04 1622   4.31   748.8 270428. -6.44  0.88   6.65   2.44   2.60 0.24 0.30 0.48  0.13 813.11465704.  4.20 752.4 271415.
 2:33:43 0.98 357.21  93.15 -1.04 1622   4.15   747.7 302237. -6.32  1.37   7.00   2.11   1.87 0.24 0.32 0.25  0.15 814.01532440.  4.20 747.8 269960.
 2:34:24 0.98 357.21  93.14 -1.04 1622   4.04   747.0 234461. -6.20  1.64   7.07   1.72   1.90 0.20 0.35 0.25  0.13 808.5 878175.  4.10 743.3 219232.
 2:35:04 0.98 357.20  93.14 -1.04 1622   4.27   746.9 297247. -5.53  1.38   7.09   1.23   2.44 0.22 0.25 0.25  0.15 822.71127033.  4.30 745.0 280875.
 2:35:45 0.98 357.20  93.13 -1.04 1622   4.27   754.5 316842. -5.80  1.40   7.10   1.30   2.19 0.23 0.33 0.36  0.11 800.5 981502.  4.25 744.2 229107.
 2:36:25 0.98 357.20  93.12 -1.04 1622   4.27   744.7 289658. -5.28  1.21   7.10   0.93   2.53 0.24 0.38 0.43  0.14 804.61313520.  4.30 749.8 236800.
 2:37:06 0.98 357.20  93.12 -1.04 1622   4.19   741.8 259097. -5.11  1.42   7.18   1.19   1.85 0.24 0.46 0.55  0.16 800.3 995224.  4.14 742.3 219440.
 2:37:46 0.98 357.20  93.11 -1.04 1622   4.15   739.7 198182. -5.25  1.93   7.16   1.74   1.68 0.35 0.48 0.59  0.19 802.61583168.  4.54 744.6 259669.
 2:38:27 0.98 357.20  93.10 -1.04 1622   4.12   744.6 277808. -5.74  1.19   6.86   2.18   2.05 0.28 0.32 0.37  0.14 801.7 949278.  3.99 744.9 210864.
 2:39:07 0.98 357.20  93.10 -1.04 1622   4.16   747.6 268505.  0.00  0.00   7.11   2.27   1.41 0.38 0.61 0.65  0.11 784.31046575.  3.99 746.7 200989.
 2:39:48 0.98 357.20  93.09 -1.04 1622   4.25   742.9 257122. -6.01  1.77   7.28   2.36   0.84 0.29 0.38 0.40  0.15 825.71520382. -1.00  -1.0     -1.
 2:40:28 0.98 357.20  93.09 -1.04 1622   4.30   746.2 279315. -6.21  1.44   7.06   2.06   1.86 0.23 0.36 0.35  0.13 807.71280880.  4.25 744.3 237215.
