1976/049   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:13:33 0.89 350.41 227.16 -6.45 1638   2.44   700.2 145479. -1.07 -0.46  -6.81  -1.00   0.02 0.18 0.43 0.54  0.10 771.51320173.  2.10 703.3 218712.
 0:14:13 0.89 350.41 227.15 -6.45 1638   2.21   704.9 187891.  0.68  1.06  -6.65  -0.46   1.23 0.23 0.71 0.61  0.10 768.3 689401.  2.15 705.1 171882.
 0:14:54 0.89 350.41 227.15 -6.45 1638   2.59   711.9 223806. -0.94  2.21  -6.51  -0.23   2.05 0.26 0.43 0.53  0.06 780.5 873602.  2.20 711.3 215750.
 0:15:34 0.89 350.41 227.14 -6.45 1638   2.42   715.2 188255.  0.80  2.34  -6.08   1.48   2.47 0.28 0.65 0.39  0.09 782.81226410.  2.04 711.3 180770.
 0:16:15 0.89 350.41 227.13 -6.45 1638   2.48   716.1 209149.  1.36  2.60  -6.01   1.81   2.28 0.33 0.51 0.51  0.08 773.41247616.  2.18 716.1 183473.
 0:16:55 0.89 350.41 227.13 -6.45 1638   2.56   708.8 177392. -0.38  1.79  -6.25   0.69   1.82 0.36 1.30 0.53  0.10 769.01230152.  2.11 707.0 165230.
 0:17:36 0.89 350.41 227.12 -6.46 1638   2.47   727.3 244908. -2.95  3.37  -6.05  -1.87   2.21 0.41 0.50 0.92  0.07 784.0 888570.  1.97 730.3 208629.
 0:18:16 0.89 350.41 227.11 -6.46 1638   2.11   718.0 195115. -0.29  3.31  -5.72  -0.16   3.42 0.44 0.40 0.69  0.10 776.0 799797.  1.95 715.2 187111.
 0:18:57 0.89 350.41 227.11 -6.46 1638   2.45   705.5 152184.  0.81  1.68  -6.48   0.35   1.95 0.20 0.48 0.63  0.08 764.01637639.  2.20 710.5 196051.
 0:19:37 0.89 350.41 227.10 -6.46 1638   2.35   710.7 188878.  0.86  1.34  -6.57   1.07   1.17 0.25 0.44 0.51  0.09 769.3 803955.  2.10 706.4 160136.
 0:20:18 0.89 350.41 227.10 -6.46 1638   2.50   701.6 134512.  0.19  0.88  -6.61   0.57   0.94 0.27 0.67 0.60  0.09 767.21104372.  2.13 707.1 186851.
 0:20:58 0.89 350.41 227.09 -6.46 1638   2.41   706.5 185396.  1.24  0.11  -6.67   1.28  -0.04 0.22 0.57 0.53  0.10 749.2 983373.  2.17 705.5 160136.
 0:21:39 0.89 350.41 227.08 -6.46 1638   2.46   701.9 142101. -0.57  1.38  -6.61   0.40   1.17 0.24 0.52 0.70  0.09 763.61047407.  2.06 702.1 120323.
 0:22:19 0.89 350.41 227.08 -6.46 1638   2.30   704.2 176924.  0.27  1.49  -6.62   0.66   1.51 0.18 0.54 0.46  0.08 768.3 680461.  1.98 705.1 164242.
 0:23:00 0.89 350.41 227.07 -6.46 1638   2.56   699.9 132849. -0.03  0.37  -6.76   0.37   0.73 0.21 0.45 0.46  0.09 769.11059257.  2.07 700.4 117672.
 0:23:40 0.89 350.41 227.06 -6.46 1638   2.32   705.8 179627.  0.37  1.29  -6.83   0.43   0.85 0.21 0.27 0.50  0.08 766.1 895431.  2.06 705.8 153067.
 0:24:21 0.89 350.41 227.06 -6.46 1638   2.46   699.7 129886. -0.65  0.23  -6.79  -0.28   0.80 0.19 0.39 0.43  0.07 800.11291899.  2.08 700.8 120739.
 0:25:01 0.89 350.41 227.05 -6.46 1638   2.47   709.9 178171. -0.65  1.43  -6.77  -0.46   1.06 0.15 0.44 0.36  0.09 763.1 837635.  2.09 705.9 158940.
 0:25:42 0.89 350.41 227.05 -6.46 1638   2.37   708.6 156706. -0.55  2.34  -6.51  -0.24   2.04 0.29 0.58 0.74  0.09 773.01013935.  2.15 709.9 210448.
 0:26:22 0.89 350.41 227.04 -6.46 1638   2.30   711.8 202600. -0.75  2.42  -6.01   0.46   2.85 0.72 0.72 1.20  0.07 792.21181503.  2.00 713.3 191789.
 0:27:03 0.89 350.41 227.03 -6.46 1638   2.32   707.0 158837.  0.01  2.68  -6.05   0.40   3.09 0.33 0.43 0.46  0.08 755.6 859672.  2.07 710.4 209876.
 0:27:43 0.89 350.41 227.03 -6.46 1638   2.34   741.0 230615. -0.70  4.56  -4.29  -0.09   5.18 0.44 0.53 0.48  0.10 770.71200630.  2.10 739.2 238411.
 0:28:24 0.89 350.41 227.02 -6.46 1638   2.28   732.1 234201. -0.68  4.19  -4.74  -0.68   4.68 0.36 0.34 0.56  0.07 761.11217262.  1.98 732.9 212059.
 0:29:04 0.89 350.41 227.02 -6.46 1638   2.61   718.3 195375. -0.39  3.41  -5.40  -0.62   4.08 0.34 0.40 0.45  0.07 770.31371317.  2.06 717.0 193192.
 0:29:45 0.89 350.41 227.01 -6.46 1638   2.47   716.4 225001. -0.60  3.23  -5.77  -0.28   3.55 0.24 0.45 0.54  0.07 770.7 832437.  2.03 716.0 181654.
 0:30:25 0.89 350.41 227.00 -6.46 1638   2.36   717.4 196623. -0.21  3.21  -5.83   0.06   3.49 0.20 0.32 0.36  0.10 767.2 861335.  2.04 715.2 187943.
 0:31:06 0.89 350.41 227.00 -6.46 1638   2.27   709.2 150521.  0.41  2.52  -6.11   0.36   3.03 0.18 0.55 0.43  0.06 757.4 955723.  2.09 710.5 201248.
 0:31:46 0.89 350.41 226.99 -6.46 1638   2.62   712.0 170219.  0.43  2.57  -6.17   1.18   2.48 0.19 0.33 0.37  0.09 776.31025785.  2.15 711.6 173858.
 0:32:27 0.89 350.41 226.98 -6.46 1638   2.52   705.2 156134.  0.41  2.14  -6.49   0.80   1.81 0.22 0.38 0.37  0.08 772.01439301.  2.23 708.9 199377.
 0:33:07 0.89 350.41 226.98 -6.46 1638   2.53   713.5 186124.  0.92  1.91  -6.50   1.34   1.21 0.24 0.43 0.56  0.09 767.9 641999.  2.19 710.3 182901.
 0:33:48 0.89 350.41 226.97 -6.46 1638   2.51   704.0 152444.  1.38  0.41  -6.46   1.48   0.78 0.26 0.80 0.76  0.09 777.51151773.  2.17 709.6 193296.
 0:34:28 0.89 350.41 226.97 -6.46 1638   2.38   709.4 177652.  1.35  0.25  -6.48   1.70   0.70 0.21 0.52 0.73  0.11 772.51127449.  2.20 706.9 169699.
 0:35:09 0.89 350.41 226.96 -6.46 1638   2.62   703.7 152132.  0.70  1.33  -6.42   1.64   0.68 0.18 0.51 0.74  0.08 749.2 815389.  2.18 709.6 193764.
 0:35:49 0.89 350.41 226.95 -6.46 1638   2.59   704.3 177080.  0.57  0.26  -6.56   1.31   0.11 0.21 0.52 0.78  0.11 759.5 766116.  2.22 705.2 160500.
 0:36:30 0.89 350.41 226.95 -6.46 1638   2.56   712.0 236332.  1.62 -0.05  -6.26   1.59   0.92 0.35 1.38 1.11  0.11 777.4 759672.  2.18 709.7 225365.
 0:37:10 0.89 350.41 226.94 -6.46 1638   2.47   719.3 217517. -0.53  3.14  -5.49   0.23   3.26 0.55 1.37 1.43  0.07 758.7 787738.  2.34 717.6 200157.
 0:37:51 0.89 350.41 226.93 -6.46 1638   2.23   707.2 152756.  0.80  2.33  -6.00   1.83   2.46 0.29 0.58 0.50  0.09 769.81133894.  1.99 703.2 145115.
 0:38:31 0.89 350.41 226.93 -6.46 1638   2.27   706.5 158265.  0.07  1.64  -6.56   0.86   1.74 0.22 0.39 0.39  0.11 782.01152813.  1.99 704.1 149273.
 0:39:12 0.89 350.41 226.92 -6.46 1638   2.08   705.7 145219.  0.63  2.23  -6.23   0.80   2.71 0.27 0.51 0.50  0.09 769.51454893.  1.84 704.6 119647.
 0:39:52 0.89 350.41 226.91 -6.46 1638   2.33   716.8 170011. -0.17  3.58  -5.75   0.34   3.64 0.29 0.33 0.36  0.08 775.8 716844.  1.96 716.7 170375.
 0:40:33 0.89 350.41 226.91 -6.46 1638   2.32   729.8 221311. -0.90  4.53  -5.11  -0.22   4.37 0.43 0.41 0.49  0.11 763.7 923290.  1.97 728.0 203899.
 0:41:13 0.89 350.41 226.90 -6.46 1638   2.18   725.0 205303. -0.82  3.93  -5.16  -0.22   4.37 0.28 0.26 0.32  0.07 784.91030567.  1.99 722.1 189138.
 0:41:54 0.89 350.41 226.90 -6.46 1638   2.46   738.2 244960. -0.83  4.67  -4.18  -0.49   5.23 0.31 0.25 0.32  0.07 749.6 490023.  2.05 740.0 223702.
 0:42:34 0.89 350.41 226.89 -6.46 1638   2.04   727.5 195323. -1.21  4.42  -4.10  -0.61   5.25 0.35 0.29 0.35  0.05 771.2 509358.  1.91 731.2 224274.
 0:43:15 0.89 350.41 226.88 -6.46 1638   2.24   698.4 133836. -0.97  1.17  -6.08  -0.40   2.67 0.61 0.57 1.06  0.07 756.11113311.  1.83 699.2 112007.
 0:43:55 0.89 350.41 226.88 -6.46 1638   2.44   706.8 161072. -1.34  1.51  -6.43   0.04   2.17 0.35 0.50 0.67  0.08 753.2 762374.  2.17 707.0 152652.
 0:44:36 0.89 350.41 226.87 -6.46 1638   2.16   720.1 229679. -0.66  3.72  -5.37  -0.35   4.16 0.37 0.41 0.48  0.09 763.81196472.  1.94 723.6 194076.
 0:45:16 0.89 350.41 226.86 -6.46 1638   2.06   717.6 175365. -0.72  3.61  -5.48  -0.29   4.33 0.28 0.30 0.40  0.09 761.51198135.  1.86 716.1 167984.
 0:45:57 0.89 350.41 226.86 -6.46 1638   2.03   728.8 205095. -1.23  4.43  -5.19  -0.25   4.58 0.31 0.35 0.40  0.09 762.0 889194.  1.82 728.4 192309.
 0:46:37 0.89 350.41 226.85 -6.46 1638   2.15   717.3 160292.  0.11  3.68  -5.50   0.60   3.96 0.55 0.50 0.75  0.10 762.8 795639.  1.76 717.0 166945.
 0:47:18 0.89 350.41 226.85 -6.46 1638   2.09   699.0 140125.  0.24  1.63  -6.52   0.55   2.24 0.28 0.50 0.62  0.07 744.1 800420.  1.76 697.3 138566.
 0:47:58 0.89 350.41 226.84 -6.46 1638   2.46   704.4 167464.  1.22 -1.39  -6.39   1.81  -1.48 0.36 0.63 0.63  0.10 766.4 765077.  2.01 706.3 173026.
 0:48:39 0.89 350.41 226.83 -6.46 1638   2.17   697.1 135136.  0.07 -1.24  -6.53   1.31  -1.66 0.30 0.36 0.60  0.07 765.71141586.  1.87 698.6 115749.
 0:49:19 0.89 350.41 226.83 -6.46 1638   2.33   701.8 166425.  0.75 -1.38  -6.55   1.66  -1.30 0.28 0.28 0.35  0.06 758.8 496676.  1.98 702.4 153275.
 0:50:00 0.89 350.41 226.82 -6.46 1638   2.54   700.5 142360.  0.90 -0.13  -6.65   1.41  -0.64 0.24 0.41 0.56  0.10 740.8 687114.  2.00 698.3 119023.
 0:50:40 0.89 350.41 226.82 -6.46 1638   2.30   703.9 178068.  0.84  0.81  -6.61   1.36  -0.26 0.27 0.51 0.61  0.08 784.11060089.  1.93 702.4 164710.
 0:51:21 0.89 350.41 226.81 -6.46 1638   2.43   704.8 163618.  1.90 -1.32  -6.24   2.21  -1.08 0.37 0.49 0.61  0.10 744.4 863206.  2.09 709.4 213411.
 0:52:01 0.89 350.41 226.80 -6.46 1638   2.54   705.2 169699.  1.62  0.72  -6.45   1.74   0.89 0.28 0.60 0.49  0.08 783.0 787530.  2.11 704.9 168192.
 0:52:42 0.89 350.41 226.80 -6.46 1638   2.42   720.2 204471.  2.56 -2.85  -5.52   3.34  -1.07 0.49 1.04 1.73  0.09 768.11239300.  2.01 720.0 178379.
 0:53:22 0.89 350.41 226.79 -6.46 1638   2.34   708.8 180198.  2.02  0.26  -6.05   2.98   0.55 0.30 0.47 0.61  0.10 782.0 987116.  2.10 706.4 163982.
 0:54:03 0.89 350.41 226.78 -6.46 1638   2.21   698.7 142360.  1.33  0.56  -6.28   2.56   0.57 0.25 0.45 0.37  0.10 761.01133478.  1.99 696.4 130978.
 0:54:43 0.89 350.41 226.78 -6.46 1638   2.16   708.3 164346.  2.45  0.25  -6.15   2.92   0.33 0.25 0.33 0.36  0.08 752.2 723497.  1.85 705.2 162683.
 0:55:24 0.89 350.41 226.77 -6.46 1638   2.12   703.9 150832.  1.88 -0.57  -6.17   2.62   0.43 0.24 0.48 0.94  0.10 767.31157594.  2.03 699.3 139866.
 0:56:04 0.89 350.41 226.76 -6.46 1638   2.43   711.4 165957.  2.20  1.35  -6.24   2.48   0.81 0.34 0.55 0.70  0.09 779.3 504369.  2.01 707.9 164970.
 0:56:45 0.89 350.41 226.76 -6.46 1638   2.29   709.3 146518.  2.55  1.72  -5.65   2.93   1.56 0.62 1.46 1.07  0.09 761.2 860296.  2.05 709.7 197974.
 0:57:25 0.89 350.41 226.75 -6.46 1638   2.30   706.8 156654.  1.20  1.81  -6.33   1.61   1.67 0.25 0.56 0.60  0.10 776.61009361.  2.06 704.7 154003.
 0:58:06 0.89 350.41 226.75 -6.46 1638   2.30   699.4 135292.  1.09  1.71  -6.21   1.61   1.90 0.26 0.31 0.45  0.06 775.3 771522.  2.07 697.8 132381.
 0:58:46 0.89 350.41 226.74 -6.46 1638   2.19   709.6 168868.  2.49  0.54  -6.00   2.72   1.12 0.33 0.68 0.89  0.10 783.21081502.  1.95 708.1 175053.
 0:59:27 0.89 350.41 226.73 -6.46 1638   2.41   705.9 151872.  2.42  0.52  -5.60   3.16   0.36 0.40 1.03 1.59  0.07 765.11061336.  2.17 711.6 179939.
 1:00:07 0.89 350.41 226.73 -6.46 1638   2.25   717.5 190126.  1.90  2.68  -5.10   0.79   3.99 0.57 1.29 0.89  0.11 780.11072563.  1.99 713.7 178743.
 1:00:48 0.89 350.41 226.72 -6.46 1638   2.45   707.2 159356.  1.69  2.45  -5.79   2.40   2.36 0.24 0.35 0.36  0.10 766.01070484.  2.16 709.2 201508.
 1:01:28 0.89 350.41 226.71 -6.46 1638   2.26   716.7 187267.  1.00  3.19  -5.64   1.68   3.21 0.30 0.34 0.57  0.07 768.7 924745.  1.98 713.5 186124.
 1:02:09 0.89 350.41 226.71 -6.46 1638   2.27   706.3 152444.  0.91  1.88  -5.76   1.66   2.84 0.46 0.41 0.66  0.08 763.41033478.  2.19 707.5 214190.
 1:02:49 0.89 350.41 226.70 -6.46 1638   2.53   712.6 166113.  1.25  2.10  -5.91   1.90   2.32 0.29 0.46 0.67  0.10 762.9 593143.  2.10 707.0 187215.
 1:03:30 0.89 350.41 226.70 -6.46 1638   2.50   704.8 142568.  1.16  1.62  -6.03   1.61   2.29 0.24 0.62 0.49  0.09 781.4 490439.  2.17 709.3 188982.
 1:04:10 0.89 350.41 226.69 -6.46 1638   2.33   713.2 188722.  1.56  2.49  -5.80   1.62   2.83 0.30 1.00 0.47  0.07 775.91176721.  1.99 709.6 179835.
 1:04:51 0.89 350.41 226.68 -6.46 1638   2.41   706.3 152704.  1.40  2.33  -5.94   2.01   2.43 0.24 0.36 0.34  0.08 762.31185869.  2.15 710.9 175105.
 1:05:31 0.89 350.41 226.68 -6.46 1638   2.12   714.1 179523. -1.24  2.96  -6.12   0.38   2.41 0.35 0.76 1.03  0.08 759.5 720170.  1.83 710.0 175521.
 1:06:12 0.89 350.41 226.67 -6.46 1638   2.23   707.3 150728.  0.91  2.90  -5.88   1.07   2.63 0.35 1.48 0.82  0.10 764.31118301.  2.12 708.3 212943.
 1:06:52 0.89 350.41 226.67 -6.46 1638   2.18   720.6 196986.  2.99  2.22  -5.38   3.39   2.54 0.38 1.15 0.53  0.09 777.5 910400.  1.85 717.3 179159.
 1:07:33 0.89 350.41 226.66 -6.46 1638   2.23   717.3 226664.  2.70  2.46  -5.16   4.16   2.18 0.30 0.49 0.54  0.11 764.61204996.  1.93 717.0 189190.
 1:08:13 0.89 350.41 226.65 -6.46 1638   2.24   725.2 189346.  2.86  2.71  -5.22   3.87   2.49 0.32 0.51 0.38  0.10 766.2 610606.  2.01 720.3 192569.
 1:08:54 0.89 350.41 226.65 -6.46 1638   2.49   724.3 215542.  3.10  2.75  -4.59   4.30   2.76 0.34 0.30 0.37  0.10 745.2 574224.  2.09 728.2 208733.
 1:09:34 0.89 350.40 226.64 -6.46 1638   2.25   729.8 199793.  3.44  3.03  -4.34   4.49   2.88 0.59 0.55 0.37  0.10 792.71180048.  1.97 726.8 187111.
 1:10:15 0.89 350.40 226.63 -6.46 1638   2.19   702.0 137891.  1.15  2.23  -6.06   2.73   1.78 0.59 0.50 0.53  0.08 781.7 966949.  1.89 700.9 119803.
 1:10:55 0.89 350.40 226.63 -6.46 1638   2.18   713.6 173390.  2.23  2.86  -5.81   3.17   1.93 0.33 0.33 0.47  0.09 777.11122251.  1.91 710.8 175417.
 1:11:36 0.89 350.40 226.62 -6.46 1638   2.17   710.8 141425.  2.37  2.93  -5.72   3.25   2.26 0.37 0.36 0.42  0.08 764.51132438.  1.89 714.2 173650.
 1:12:16 0.89 350.40 226.62 -6.46 1638   2.35   706.3 161124. -0.40  3.10  -6.29   1.55   2.26 0.27 0.64 0.72  0.09 786.01072355.  1.99 706.3 159096.
 1:12:57 0.89 350.40 226.61 -6.46 1638   2.10   709.2 157641.  1.89  3.08  -5.81   2.49   2.86 0.32 0.43 0.48  0.08 745.4 684411.  1.95 709.3 202132.
 1:13:37 0.89 350.40 226.60 -6.46 1638   2.17   701.2 163618.  1.29  2.05  -6.13   2.22   2.16 0.47 0.48 0.82  0.12 770.1 802915.  1.86 701.8 146726.
 1:14:18 0.89 350.40 226.60 -6.46 1638   2.21   705.8 153951.  2.46  1.36  -5.77   3.51   1.49 0.38 0.79 0.75  0.08 761.21040338.  1.89 702.6 142049.
 1:14:58 0.89 350.40 226.59 -6.46 1638   2.13   706.2 191633.  2.16  1.29  -5.90   3.55   0.29 0.45 0.87 0.72  0.06 765.3 900213.  1.77 705.0 173078.
 1:15:39 0.89 350.40 226.58 -6.46 1638   2.09   703.8 171726.  1.59  2.32  -6.15   2.61   1.19 0.48 0.93 1.05  0.08 761.01043873.  1.81 700.3 144543.
 1:16:19 0.89 350.40 226.58 -6.46 1638   2.05   711.7 182122.  2.58  1.35  -5.93   3.53   0.80 0.32 0.44 0.44  0.11 780.3 830358.  1.79 706.9 174169.
 1:17:00 0.89 350.40 226.57 -6.46 1638   2.25   726.9 237527.  4.17  0.62  -4.99   4.71   0.38 0.58 0.68 0.67  0.09 761.51044289.  1.98 727.8 207797.
 1:17:40 0.89 350.40 226.56 -6.46 1638   2.18   716.8 189658.  2.79  1.86  -5.57   3.79   1.35 0.43 0.56 0.35  0.11 771.4 993768.  1.83 713.8 183993.
 1:18:21 0.89 350.40 226.56 -6.46 1638   2.13   715.7 240438.  2.58  1.99  -5.41   3.69   1.94 0.57 0.67 0.61  0.10 757.9 986908.  1.88 711.8 219908.
 1:19:01 0.89 350.40 226.55 -6.46 1638   2.35   718.3 194284.  2.08  2.79  -5.66   2.70   2.46 0.43 0.64 0.58  0.08 763.4 803123.  1.99 716.7 181290.
 1:19:42 0.89 350.40 226.55 -6.46 1638   2.13   704.1 150157.  1.12  1.94  -6.02   2.12   1.26 0.41 0.66 1.66  0.09 746.1 737218.  1.91 708.4 191633.
 1:20:22 0.89 350.40 226.54 -6.46 1638   2.24   703.1 188618.  1.12  0.32  -5.82   1.45  -2.67 0.47 0.94 1.15  0.09 761.3 522872.  1.89 701.9 180406.
 1:21:03 0.89 350.40 226.53 -6.46 1638   2.09   720.6 243141.  2.60 -1.99  -5.29   2.40  -2.47 1.05 1.55 1.36  0.09 765.9 922666.  1.74 724.3 213567.
 1:21:43 0.89 350.40 226.53 -6.46 1638   2.35   716.8 181966.  2.39 -1.19  -5.08   3.66  -2.27 0.43 0.65 0.73  0.08 764.1 780670.  2.01 713.2 176716.
 1:22:24 0.89 350.40 226.52 -6.46 1638   2.22   711.2 239139.  1.36 -1.67  -5.71   2.39  -2.60 0.31 0.46 0.51  0.06 741.1 630149.  2.02 708.9 221259.
 1:23:04 0.89 350.40 226.51 -6.46 1638   2.39   705.2 171622.  1.16 -0.48  -6.00   2.32  -1.75 0.25 0.44 0.51  0.11 757.4 769235.  2.09 706.4 167464.
 1:23:45 0.89 350.40 226.51 -6.46 1638   2.34   698.3 123078.  0.49  0.00  -6.44   1.45  -0.79 0.23 0.55 0.55  0.09 767.41120172.  2.06 697.6 115801.
 1:24:25 0.89 350.40 226.50 -6.46 1638   2.26   701.9 189866.  0.37  1.20  -6.58   0.92   0.69 0.21 0.68 0.65  0.13 746.51350319.  1.97 703.3 173858.
 1:25:06 0.89 350.40 226.49 -6.46 1638   2.56   713.8 228535.  2.04 -0.99  -5.99   2.70  -1.02 0.29 0.47 1.08  0.09 733.2 919340.  2.17 710.1 219648.
 1:25:46 0.89 350.40 226.49 -6.46 1638   2.38   701.5 183161.  0.59 -0.09  -6.12   2.22  -1.25 0.44 0.91 0.53  0.08 750.7 883373.  2.07 703.4 165126.
 1:26:27 0.89 350.40 226.48 -6.46 1638   2.33   704.6 154627.  1.52 -0.86  -5.90   2.68  -1.60 0.26 0.61 0.56  0.09 764.91144289.  2.07 701.9 147610.
 1:27:07 0.89 350.40 226.48 -6.46 1638   2.29   720.9 173078.  0.92  3.53  -5.72   1.78   2.75 0.51 0.80 1.18  0.10 768.8 676511.  1.84 716.8 162319.
 1:27:48 0.89 350.40 226.47 -6.46 1638   2.29   717.9 189242.  1.66  2.71  -5.83   2.36   2.59 0.28 0.46 0.41  0.06 774.71130359.  2.04 716.6 180822.
 1:28:28 0.89 350.40 226.47 -6.46 1638   2.38   717.5 178119.  1.61  2.53  -5.85   2.58   2.06 0.33 0.53 0.46  0.10 784.21049278.  2.06 714.8 157017.
 1:29:09 0.89 350.40 226.46 -6.46 1638   2.31   712.1 142464.  1.42  2.60  -5.76   2.91   2.05 0.27 0.31 0.34  0.07 744.6 592103.  2.05 714.3 161487.
 1:29:49 0.89 350.40 226.45 -6.46 1638   2.24   718.7 167568.  1.50  2.74  -5.90   2.55   2.12 0.28 0.31 0.25  0.08 767.7 655721.  1.96 714.1 151092.
 1:30:30 0.89 350.40 226.45 -6.46 1638   2.16   709.9 139658.  2.05  1.98  -5.94   2.58   2.16 0.34 0.44 0.49  0.08 759.31377554.  1.88 708.0 116841.
 1:31:10 0.89 350.40 226.44 -6.46 1638   2.25   715.0 168244.  1.88  1.85  -5.93   2.88   1.68 0.32 0.43 0.52  0.11 780.11062583.  2.05 712.4 159980.
 1:31:51 0.89 350.40 226.43 -6.46 1638   2.40   712.4 217101.  1.46  1.29  -6.02   2.95   0.53 0.31 0.57 0.61  0.09 766.2 937219.  2.03 710.6 194544.
 1:32:31 0.89 350.40 226.43 -6.46 1638   2.42   711.1 170375.  1.80  0.22  -5.64   3.52   0.66 0.43 0.66 0.67  0.08 771.9 890649.  2.16 710.0 159460.
 1:33:12 0.89 350.40 226.42 -6.46 1638   2.60   722.9 235344.  2.35  2.88  -5.16   3.55   2.08 0.49 0.53 0.80  0.09 763.31010193.  2.13 723.4 203068.
 1:33:52 0.89 350.40 226.41 -6.46 1638   2.15   738.8 185760.  3.15  4.00  -3.92   3.90   3.79 0.35 0.46 0.31  0.07 787.11143457.  2.01 741.5 225417.
 1:34:33 0.89 350.40 226.41 -6.46 1638   2.32   742.0 254783.  2.73  4.45  -3.60   4.42   3.66 0.26 0.32 0.35  0.10 772.1 975889.  1.94 745.5 211124.
 1:35:13 0.89 350.40 226.40 -6.46 1638   2.11   739.8 176456.  3.48  3.64  -3.61   4.84   3.04 0.32 0.29 0.33  0.07 769.5 772977.  1.91 740.1 214762.
