1981/293   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 2:53:34 0.89  76.52 333.28 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.75 308.1  29879.
 2:54:55 0.89  76.52 333.27 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.00 306.5  23405.
 2:56:16 0.89  76.52 333.26 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.33 307.7  28632.
 2:57:37 0.89  76.52 333.24 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 37.14 306.9  25143.
 2:58:58 0.89  76.52 333.23 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.42 306.7  25013.
 3:00:19 0.89  76.52 333.22 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.06 308.0  19881.
 3:01:40 0.89  76.52 333.20 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.70 307.4  25598.
 3:03:01 0.89  76.52 333.19 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.96 310.7  23460.
 3:04:22 0.89  76.52 333.18 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.78 309.8  26212.
 3:05:43 0.89  76.52 333.17 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.24 309.4  31377.
 3:07:04 0.89  76.52 333.15 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.38 309.0  29785.
 3:08:25 0.89  76.52 333.14 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 38.77 311.5  27144.
 3:09:46 0.89  76.52 333.13 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.81 309.7  28154.
 3:11:07 0.89  76.52 333.12 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.78 308.0  27157.
 3:12:28 0.89  76.52 333.11 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.12 308.8  28002.
 3:13:49 0.89  76.52 333.09 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.62 308.9  26998.
 3:15:10 0.89  76.52 333.08 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.26 308.8  30051.
 3:16:31 0.89  76.52 333.07 -3.30 1714  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.27 308.8  37296.
