1978/115   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:15:37 0.31  41.36 199.08  0.02 1667 119.73   405.3  52992.  5.01  2.83  46.16 -26.76 -45.42 1.96 0.65 2.13  5.56 396.5 187748.101.82 399.3  50988.
 0:16:17 0.31  41.36 199.08  0.02 1667 133.12   397.2  59749.  5.05  2.10  46.39 -26.38 -44.90 1.26 0.80 1.41  6.21 402.2 191490.113.23 390.8  53824.
 0:16:58 0.31  41.36 199.07  0.02 1667 131.63   405.6  57862.  5.15  2.58  42.94 -28.31 -46.97 3.14 2.09 1.84  6.00 398.3 223858.109.71 399.1  54340.
 0:17:38 0.31  41.37 199.07  0.02 1667 124.03   416.1  54922.  5.60  3.05  39.45 -31.09 -49.14 1.84 1.18 1.29  6.16 414.7 165788.107.24 409.1  52424.
 0:18:19 0.31  41.37 199.07  0.02 1667 121.15   392.3  62315.  4.48  1.86  53.03 -23.02 -40.98 1.40 1.12 0.79  6.21 392.1 149195.100.52 389.3  55854.
 0:18:59 0.31  41.37 199.06  0.02 1667 104.17   397.6  54613.  4.76  7.55  52.93 -23.70 -43.21 1.19 0.74 1.65  3.22 408.7 175677. 86.40 391.2  51228.
 0:19:40 0.31  41.38 199.06  0.02 1667 110.19   395.5  50520.  4.49  2.15  51.94 -25.83 -42.61 0.52 0.91 1.11  4.87 397.1 129717. 93.56 391.6  49763.
 0:20:20 0.31  41.38 199.06  0.02 1667  -1.00    -1.0     -1. -1.00 -1.00  51.02 -26.22 -43.54 0.75 1.38 1.60 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:22:46 0.31  41.39 199.04  0.02 1667 111.68   397.4  49477.  4.67  7.88  50.16 -25.60 -44.79 0.99 1.88 2.09  6.41 395.0 277016. 93.50 391.7  45777.
 0:23:22 0.31  41.39 199.04  0.02 1667 111.77   402.6  53294.  3.88  8.75  46.86 -22.25 -49.95 1.03 1.74 1.58  6.49 396.0 180315. 90.73 398.1  51628.
 0:24:03 0.31  41.40 199.04  0.02 1667 116.73   397.0  49286.  4.82  7.95  49.25 -24.93 -46.15 1.04 1.03 1.24  5.81 392.1 294557. 96.67 391.2  45946.
 0:24:43 0.31  41.40 199.03  0.02 1667 116.46   396.0  51345.  4.70  7.74  50.57 -24.85 -44.76 0.70 0.46 0.68  5.54 395.7 140074. 95.04 391.6  50790.
 0:25:24 0.31  41.40 199.03  0.02 1667 115.89   395.5  53798.  4.93  7.39  50.44 -25.78 -43.84 1.22 0.84 0.98  5.99 392.6 314568. 97.29 389.3  50306.
 0:26:04 0.31  41.40 199.03  0.02 1667 115.92   398.8  51244.  4.55  7.63  49.56 -25.37 -44.96 1.03 1.14 1.57  5.22 397.6 147116. 98.81 393.0  49490.
 0:26:45 0.31  41.40 199.02  0.02 1667 117.22   396.6  52209.  4.88  7.45  50.05 -25.90 -44.22 0.69 0.41 0.78  5.88 392.6 272468. 99.72 391.0  48899.
 0:27:25 0.31  41.41 199.02  0.02 1667 119.40   398.4  53457.  4.92  7.95  49.76 -25.93 -44.06 0.65 0.43 0.65  5.27 398.5 132498.101.32 392.5  51767.
 0:28:06 0.31  41.41 199.02  0.03 1667 121.75   398.2  52092.  4.96  8.12  49.21 -26.27 -44.33 0.79 0.45 0.79  7.07 394.4 312632. 98.77 392.1  49214.
 0:28:46 0.31  41.41 199.01  0.03 1667 119.38   399.8  52232.  4.80  7.71  50.48 -26.25 -43.37 0.59 0.50 0.67  6.19 393.9 182537. 99.69 393.8  51407.
 0:29:27 0.31  41.41 199.01  0.03 1667 114.23   395.2  52813.  4.98  7.25  51.78 -26.31 -42.34 0.91 1.06 1.03  6.09 391.5 312982. 98.39 388.8  49604.
 0:30:07 0.31  41.42 199.00  0.03 1667 112.11   400.2  65807.  4.34  7.84  51.77 -26.17 -42.93 0.82 1.09 1.17  5.50 394.6 172493. 95.25 394.4  60909.
 0:30:48 0.31  41.42 199.00  0.03 1667 116.78   393.8  62439.  4.24  7.00  53.36 -24.78 -41.37 1.37 1.01 1.56 -1.00  -1.0     -1. 97.77 388.1  55104.
 0:31:28 0.31  41.42 199.00  0.03 1667 127.07   395.1  77125.  3.92  7.09  53.36 -23.53 -41.64 0.90 0.82 1.07  7.13 384.5 221922.100.76 391.7  66178.
 0:32:09 0.31  41.43 198.99  0.03 1667 118.10   396.6  60883.  4.34  7.58  52.56 -24.04 -42.91 0.72 0.44 0.89 -1.00  -1.0     -1. 95.52 390.5  54603.
 0:32:49 0.31  41.43 198.99  0.03 1667 121.72   397.1  60119.  4.01  8.06  51.90 -23.97 -43.81 1.04 1.27 1.55  6.58 389.5 212384. 98.32 392.9  56965.
 0:33:30 0.31  41.43 198.99  0.03 1667 110.45   393.8  54818.  4.86  7.57  52.23 -26.89 -42.23 1.00 0.90 1.92  6.55 389.6 309799. 92.33 388.0  51501.
 0:34:10 0.31  41.43 198.99  0.03 1667 116.68   395.8  51264.  4.78  7.33  52.46 -27.73 -41.64 0.67 1.79 1.56  6.35 393.4 158603. 96.91 391.2  50543.
 0:34:51 0.31  41.43 198.98  0.03 1667 119.79   392.8  51920.  4.58  7.01  55.06 -25.71 -39.95 1.87 2.35 1.77  5.91 382.0 217959.101.44 387.0  48415.
 0:35:31 0.31  41.44 198.97  0.03 1667 117.56   391.7  57803.  4.00  7.38  55.12 -24.69 -40.99 0.85 0.76 0.80  5.76 396.2 122818. 95.67 388.8  52193.
 0:36:12 0.31  41.44 198.97  0.03 1667 119.15   392.9  53580.  4.09  7.64  54.52 -23.88 -42.31 0.59 0.92 0.99  6.74 389.6 277288.101.04 387.6  50075.
 0:36:52 0.31  41.44 198.97  0.03 1667 116.40   390.8  59476.  3.22  8.25  54.94 -21.39 -43.42 0.81 0.89 1.00  6.22 391.0 153327. 93.71 388.9  54139.
 0:37:33 0.31  41.45 198.97  0.03 1667 117.65   390.3  53434.  3.71  8.29  54.31 -23.47 -43.39 0.92 0.74 0.91  6.28 387.8 263632. 95.46 385.9  50988.
 0:43:00 0.31  41.47 198.94  0.03 1667 127.26   398.5  51673.  3.33  9.22  50.76 -21.16 -49.55 1.28 0.98 1.02  6.81 399.2 174013.100.77 393.9  46966.
 0:43:41 0.31  41.47 198.93  0.03 1667 123.75   400.7  58040.  3.47  9.09  51.15 -22.90 -48.49 1.02 1.33 1.56  7.41 392.8 161669.101.92 396.3  54886.
 0:44:21 0.31  41.47 198.93  0.03 1667 123.16   399.9  51592.  4.02  9.24  49.98 -22.37 -50.29 1.51 1.55 1.07  6.51 405.5 164515. 98.38 394.7  47538.
 0:45:02 0.31  41.48 198.93  0.04 1667 119.43   396.9  70352.  3.84  8.83  51.20 -22.05 -49.02 1.34 2.08 1.98  6.53 396.2 179315. 95.27 393.2  60876.
 0:45:42 0.31  41.48 198.92  0.04 1667 117.19   399.4  52586.  3.57  9.14  49.35 -22.75 -50.61 1.11 1.33 1.12  6.91 401.9 228795. 95.48 397.6  65642.
 0:46:23 0.31  41.48 198.92  0.04 1667 118.46   399.6  56962.  4.39  8.81  49.94 -25.23 -49.10 0.92 0.61 0.94  6.37 396.0 220128. 96.54 394.0  55591.
 0:47:03 0.31  41.49 198.92  0.04 1667 121.95   398.7  54304.  3.85  9.17  49.78 -23.45 -49.87 0.88 0.65 0.91  8.35 396.0 318739. 95.57 393.6  51238.
 0:47:44 0.31  41.49 198.91  0.04 1667 118.19   400.8  56039.  4.21  8.86  49.82 -23.95 -49.90 1.00 0.60 1.10  7.19 395.3 227249. 94.95 395.8  55571.
 0:48:24 0.31  41.49 198.91  0.04 1667 119.38   396.5  55945.  3.97  8.84  51.09 -23.82 -49.03 1.22 1.33 1.73  7.50 392.0 336787. 94.87 391.1  52677.
 0:49:05 0.31  41.49 198.91  0.04 1667 117.13   394.3  63420.  3.55  8.61  53.42 -21.85 -47.65 1.32 1.16 1.13  5.92 399.9 161072. 90.99 391.8  58599.
 0:49:45 0.31  41.49 198.90  0.04 1667 118.21   396.0  57030.  3.52  8.71  52.41 -21.48 -49.40 0.89 0.87 1.19  8.05 393.1 350937. 96.25 391.0  51868.
 0:50:26 0.31  41.50 198.90  0.04 1667 125.30   399.2  58638.  2.75  9.37  52.39 -20.04 -50.67 1.03 1.33 1.29  6.67 395.4 215841. 98.32 395.6  56335.
 0:51:06 0.31  41.50 198.90  0.04 1667 117.46   397.5  54278.  3.50  9.24  54.76 -22.70 -46.56 2.37 1.57 3.13  6.83 383.1 241062. 91.22 392.8  49701.
 0:51:47 0.31  41.50 198.89  0.04 1667 117.46   387.1  69455.  3.61  7.44  56.30 -23.46 -44.30 1.29 1.31 1.85  6.40 392.7 185279. 97.25 382.8  66642.
 0:52:27 0.31  41.51 198.89  0.04 1667 115.27   391.8  51774.  3.04  8.48  55.93 -23.64 -44.75 1.45 2.64 1.52  6.54 383.6 234461. 93.63 387.5  49143.
 0:53:08 0.31  41.51 198.88  0.04 1667 120.71   393.8  64810.  2.84  8.94  54.97 -19.34 -47.11 0.85 2.44 1.93  7.10 397.2 203951. 94.55 392.1  59096.
 0:53:48 0.31  41.51 198.88  0.04 1667 120.72   393.8  56790.  2.70  9.16  55.06 -18.63 -46.22 1.26 3.48 3.23  8.23 394.9 345909. 94.36 390.0  53619.
 0:54:28 0.31  41.51 198.88  0.04 1667  -1.00    -1.0     -1. -1.00 -1.00  55.62 -24.33 -41.63 2.30 3.55 3.74 -1.00  -1.0     -1. -1.00  -1.0     -1.
 0:54:37 0.31  41.51 198.88  0.04 1667 135.84   388.8  77105.  2.92  7.84  55.44 -25.62 -41.16 2.34 3.73 3.86  8.74 388.9 254861. -1.00  -1.0     -1.
 0:55:09 0.31  41.52 198.87  0.04 1667 134.56   397.0  64787.  5.43  7.46  53.21 -33.49 -38.44 2.00 3.41 3.20  7.25 403.0 242374.111.88 389.7  58921.
 0:55:50 0.31  41.52 198.87  0.04 1667 134.32   401.3  60197.  5.22  8.30  53.66 -29.77 -40.55 2.01 4.65 3.48  6.57 398.1 236683.108.27 394.2  57550.
 0:56:30 0.31  41.52 198.87  0.04 1667 136.93   396.9  63835.  3.79  8.23  55.03 -28.69 -39.33 2.95 4.57 6.33  7.90 401.9 248065.111.67 391.2  57767.
 0:57:11 0.31  41.53 198.86  0.04 1667 118.54   411.0  64014.  2.74 10.67  51.34 -27.69 -42.49 7.11 8.9812.57  8.52 407.0 360410. 94.53 410.7  84008.
 0:57:51 0.31  41.53 198.86  0.04 1667 135.03   411.4  74416.  4.74  9.77  49.13 -29.63 -46.38 2.92 4.06 5.04  7.15 412.9 202340.103.57 407.1  64355.
 0:58:32 0.31  41.53 198.85  0.04 1667 131.24   410.8  59037.  5.58  9.22  46.17 -33.93 -46.41 4.27 4.22 5.69  6.96 400.5 250170.101.64 403.3  57556.
 0:59:12 0.31  41.53 198.85  0.04 1667 125.74   398.2  57283.  6.29  7.29  51.19 -38.46 -38.71 1.71 1.28 1.24  9.02 395.6 381681.103.36 390.5  52258.
 0:59:53 0.31  41.53 198.85  0.04 1667 133.03   406.2  63774.  6.24  7.97  49.67 -38.04 -40.97 1.24 1.28 1.24  6.58 402.4 245025.106.59 398.2  61714.
 1:00:33 0.31  41.54 198.85  0.04 1667 125.65   398.4  60395.  5.68  7.59  52.50 -36.24 -39.01 1.57 1.61 1.91  9.29 392.4 350431.102.08 390.9  54496.
 1:01:14 0.31  41.54 198.84  0.04 1667 127.72   386.2  55393.  6.02  5.56  56.70 -36.66 -32.40 2.60 1.89 2.76  8.06 389.6 218426.108.82 381.4  70745.
 1:01:54 0.31  41.54 198.83  0.04 1667 129.02   393.6  64748.  6.22  6.54  57.02 -34.70 -34.14 1.70 2.60 2.54  8.97 390.7 340971.109.05 385.7  59788.
 1:02:35 0.31  41.55 198.83  0.05 1667 128.78   390.1  66392.  4.42  7.52  57.72 -32.91 -35.17 3.16 3.63 5.15  7.61 389.0 213424.102.04 384.7  65265.
 1:03:15 0.31  41.55 198.83  0.05 1667 135.27   402.4  57693.  5.25  8.88  50.82 -33.61 -44.58 1.81 2.72 2.39  7.24 405.4 245947.111.60 398.0  69368.
 1:03:56 0.31  41.55 198.83  0.05 1667  98.49   399.7  68481.  5.61  7.59  53.98 -34.46 -40.15 2.57 2.42 2.63  7.19 397.4 178353. 78.24 394.3  59320.
 1:04:36 0.31  41.55 198.82  0.05 1667 134.12   395.0  63033.  6.30  6.94  55.50 -33.42 -38.37 1.20 2.65 2.37  8.47 393.2 307096.112.70 387.2  57972.
 1:05:17 0.31  41.56 198.82  0.05 1667 139.34   392.3  64972.  4.77  7.80  57.43 -30.36 -38.38 1.45 1.23 1.36  6.65 394.4 164905.112.47 386.9  58495.
 1:05:57 0.31  41.56 198.81  0.05 1667 136.14   389.5  58313.  4.18  7.99  58.39 -30.77 -37.32 0.96 1.91 2.25  7.03 381.2 166594.114.57 384.0  54532.
 1:06:38 0.31  41.56 198.81  0.05 1667 129.77   385.8  49643.  4.92  7.14  59.34 -30.48 -36.92 1.15 1.27 1.55  7.28 387.2 194868.113.72 382.0  63351.
 1:07:18 0.31  41.57 198.81  0.05 1667 134.54   386.6  55087.  4.61  7.20  61.40 -29.79 -36.54 0.98 1.07 1.81  6.98 380.6 192166.112.36 380.8  52930.
 1:07:59 0.31  41.57 198.80  0.05 1667 125.24   387.0  46710.  3.92  8.02  61.09 -29.59 -38.36 0.97 2.46 2.64  7.02 388.9 201508.105.41 383.8  58570.
 1:08:39 0.31  41.57 198.80  0.05 1667 129.45   386.4  55178.  3.93  7.41  60.84 -29.89 -36.39 1.33 1.78 1.61  7.31 383.3 214762.105.73 381.4  53905.
 1:09:20 0.31  41.57 198.80  0.05 1667 130.22   386.3  51511.  4.76  7.23  60.11 -31.34 -36.34 0.97 1.74 1.60  6.97 389.7 211631.110.16 382.3  63020.
 1:10:00 0.31  41.58 198.80  0.05 1667 121.48   387.8  54558.  4.50  6.95  61.56 -31.82 -34.96 1.56 1.64 2.36  6.89 383.6 205264.101.34 382.1  52917.
 1:10:41 0.31  41.58 198.79  0.05 1667 111.14   386.0  50514.  4.92  6.37  61.97 -32.63 -34.99 1.18 1.79 1.88  6.59 387.9 180263. 92.26 379.3  45618.
 1:11:21 0.31  41.58 198.79  0.05 1667 119.80   390.6  52138.  4.86  7.48  61.99 -34.23 -33.20 1.17 2.24 1.81  7.48 380.2 181043.102.94 384.1  49123.
 1:12:02 0.31  41.58 198.79  0.05 1667 129.79   382.3  53038.  5.38  6.34  61.99 -33.80 -32.62 1.04 1.23 1.29  9.07 377.9 310579.107.35 375.3  49123.
 1:12:42 0.31  41.58 198.78  0.05 1667 138.93   376.8  64592.  3.58  6.59  63.60 -30.24 -32.54 1.90 2.30 2.91  6.27 384.6 169946.115.79 373.2  61776.
 1:13:23 0.31  41.59 198.78  0.05 1667 133.58   384.8  53236.  5.27  7.05  61.50 -32.74 -34.42 1.68 1.55 1.47  6.33 395.5 141880.114.83 380.6  63338.
 1:14:03 0.31  41.59 198.78  0.05 1667 132.22   379.5  61659.  4.46  6.41  64.84 -30.00 -30.71 1.32 1.32 1.60  6.69 380.0 166919.110.65 375.9  54548.
 1:14:44 0.31  41.59 198.77  0.05 1667 127.99   372.3  56003.  3.65  4.84  68.41 -26.32 -26.43 0.73 0.66 1.03  8.00 365.3 199806.109.69 366.7  51907.
 1:15:24 0.31  41.60 198.77  0.05 1667 126.93   369.7  50387.  3.58  5.57  68.62 -25.43 -26.88 0.78 0.62 0.99  7.72 371.6 171765.110.67 367.1  61003.
 1:16:05 0.31  41.60 198.76  0.05 1667 130.68   370.8  56611.  3.18  4.78  69.53 -25.18 -24.07 0.83 1.35 1.94  6.37 371.6 107485.111.30 366.2  52999.
 1:16:45 0.31  41.60 198.76  0.05 1667 125.18   375.2  62176.  4.09  4.95  67.54 -27.91 -27.11 1.10 1.10 1.49  6.87 377.4 144115.103.12 370.1  59827.
 1:17:26 0.31  41.60 198.76  0.05 1667 134.08   377.4  62104.  4.35  5.93  65.02 -28.89 -29.17 1.01 0.76 1.11  9.05 375.6 308734.112.14 371.0  57956.
 1:18:06 0.31  41.61 198.75  0.05 1667 131.80   374.8  67578.  3.89  6.23  65.72 -26.16 -29.65 0.86 1.27 1.40  8.21 374.6 192828.107.60 369.7  65759.
 1:18:47 0.31  41.61 198.75  0.05 1667 122.88   375.6  57101.  3.66  5.25  67.98 -28.29 -25.95 1.27 0.87 1.70  6.62 369.0 192439.102.78 369.7  53603.
 1:19:27 0.31  41.61 198.75  0.06 1667 117.74   370.8  47038.  4.35  4.40  69.13 -29.73 -20.60 1.08 1.91 1.85  7.88 371.8 158837.104.83 367.5  55997.
 1:20:08 0.31  41.62 198.75  0.06 1667 115.32   371.4  52417.  4.16  3.74  69.88 -29.85 -19.32 0.76 1.13 0.91  7.03 369.0 138137. 98.97 365.8  49292.
 1:20:48 0.31  41.62 198.74  0.06 1667 111.37   370.7  46658.  4.03  4.73  69.37 -28.73 -23.50 0.67 0.61 1.13  7.21 372.4 154185. 95.19 367.5  58722.
 1:21:29 0.31  41.62 198.73  0.06 1667 106.43   371.1  52800.  3.66  3.99  70.39 -28.09 -21.68 0.71 0.48 0.84  7.00 366.0 152028. 90.33 365.8  49864.
 1:22:09 0.31  41.62 198.73  0.06 1667 104.35   367.4  48815.  3.40  3.83  71.24 -25.99 -22.00 0.70 1.03 0.84  7.20 370.3 172142. 86.25 362.6  45758.
 1:22:50 0.31  41.62 198.73  0.06 1667 100.90   369.4  55838.  3.01  4.03  71.24 -25.47 -22.62 0.72 0.61 1.05  6.64 365.7 155991. 87.10 364.8  51046.
 1:23:30 0.31  41.63 198.73  0.06 1667 103.22   366.7  48028.  2.74  4.48  70.11 -26.28 -23.09 1.03 2.23 1.67  7.60 370.0 166295. 88.52 362.6  44251.
 1:24:11 0.31  41.63 198.72  0.06 1667 122.03   364.9  56046.  2.50  4.13  70.57 -24.27 -22.20 0.94 2.15 2.27  7.74 364.2 143309.103.24 363.0  49838.
 1:24:51 0.31  41.63 198.71  0.06 1667 108.72   367.9  48831.  3.23  4.62  69.36 -27.25 -24.12 0.81 1.86 1.79  6.93 372.1 181017. 90.65 363.1  44585.
 1:25:32 0.31  41.64 198.71  0.06 1667 126.98   367.3  60405.  3.68  4.27  66.79 -25.76 -29.60 2.15 2.93 5.56  7.46 367.0 130081.105.04 363.6  52784.
 1:26:12 0.31  41.64 198.71  0.06 1667 117.05   364.0  47821.  3.74  2.97  68.19 -26.35 -25.92 1.80 3.78 3.58  8.77 359.1 242673.100.80 358.9  44676.
 1:26:53 0.31  41.64 198.71  0.06 1667 127.94   366.0  58177.  3.91  4.45  69.31 -28.50 -20.36 0.93 1.64 2.84  7.42 364.6 116191.107.18 362.9  51761.
 1:27:33 0.31  41.64 198.70  0.06 1667 130.77   362.2  51842.  4.18  3.42  69.92 -29.01 -17.03 0.75 1.35 1.48  8.38 351.6 194284.110.16 356.8  49016.
 1:28:14 0.31  41.65 198.70  0.06 1667 131.11   361.5  60727.  3.88  2.66  70.81 -27.96 -15.62 0.65 0.80 1.12  8.19 357.9 153301.111.31 357.7  56971.
 1:28:54 0.31  41.65 198.70  0.06 1667 124.71   362.8  50695.  3.83  2.95  70.81 -27.91 -15.80 0.72 0.82 0.86  8.53 357.3 250482.107.24 357.5  46917.
 1:29:35 0.31  41.65 198.69  0.06 1667 124.60   361.6  57706.  3.60  2.66  71.79 -26.71 -13.55 0.98 2.50 1.70  8.14 359.5 149377.107.52 358.1  54964.
 1:30:15 0.31  41.66 198.69  0.06 1667 126.42   361.2  49880.  3.48  2.36  71.82 -26.33 -13.88 0.90 1.63 1.71  8.78 351.9 184837.105.57 356.2  46635.
 1:30:56 0.31  41.66 198.68  0.06 1667 125.19   352.6  46219.  0.99  0.71  73.07 -23.73 -11.55 1.64 3.00 3.70  8.53 353.8 138020.111.15 352.9  55844.
 1:31:36 0.31  41.66 198.68  0.06 1667 123.45   362.1  48724.  3.54  3.04  70.95 -27.64 -15.93 0.85 0.81 1.35  7.97 358.7 238528.102.29 357.3  45807.
 1:32:17 0.31  41.66 198.68  0.06 1667 125.16   362.7  54905.  3.61  3.16  70.57 -27.48 -17.23 0.74 1.41 1.59  7.55 362.5 129938.103.07 360.1  50172.
 1:32:57 0.31  41.66 198.67  0.06 1667 122.27   363.3  49571.  3.54  3.98  69.56 -28.02 -19.82 0.76 0.90 1.08  8.78 357.8 238970.103.53 358.4  46232.
 1:33:38 0.31  41.67 198.67  0.06 1667 127.30   363.0  59320.  3.28  4.00  70.14 -27.57 -17.25 0.92 1.31 2.91  7.31 361.6 130887.106.86 360.8  51335.
 1:34:18 0.31  41.67 198.67  0.06 1667 126.68   360.7  51962.  3.42  2.95  70.77 -26.84 -15.03 0.55 1.01 0.94  7.73 350.0 192426.107.97 356.1  48009.
 1:34:59 0.31  41.67 198.66  0.06 1667 129.33   359.7  58570.  3.07  3.27  70.65 -25.38 -17.75 0.65 1.21 1.61  7.91 357.9 149949.106.87 357.1  57904.
 1:35:39 0.31  41.68 198.66  0.06 1667 121.88   360.6  52531.  3.38  2.83  69.78 -27.12 -18.49 0.83 1.98 1.29  8.88 358.6 231212.104.33 355.8  48587.
 1:36:20 0.31  41.68 198.66  0.07 1667 120.36   357.8  43659.  3.42  2.61  71.07 -27.51 -13.82 0.62 1.47 1.45  8.08 358.3 151222.102.81 355.2  54314.
 1:37:00 0.31  41.68 198.66  0.07 1667 121.98   360.2  51189.  3.71  2.49  70.55 -27.94 -15.50 0.73 0.80 2.38  7.41 353.7 168049.104.10 355.7  48145.
 1:37:41 0.31  41.68 198.65  0.07 1667 124.01   367.1  57127.  4.32  5.24  67.38 -31.53 -22.49 0.97 1.64 1.21  7.67 363.8 144504.103.65 363.8  50358.
 1:38:21 0.31  41.69 198.65  0.07 1667 119.17   371.4  49198.  5.40  5.31  64.82 -35.07 -24.16 1.43 1.60 2.12  6.32 378.2 144063.104.86 366.5  58787.
 1:39:02 0.31  41.69 198.64  0.07 1667 115.58   359.1  43026.  3.58  3.75  69.89 -28.19 -18.02 0.48 0.82 0.88  7.42 362.1 133655.101.47 357.9  53440.
 1:39:42 0.31  41.69 198.64  0.07 1667 121.90   360.9  49568.  3.43  3.71  69.82 -27.72 -17.69 0.59 0.67 0.97  8.07 358.2 235708.102.44 356.2  46654.
 1:40:23 0.31  41.70 198.64  0.07 1667 117.94   362.0  54571.  3.38  4.41  69.79 -27.80 -18.10 0.73 0.75 1.29  8.21 359.5 151274. 99.95 359.8  47983.
 1:41:03 0.31  41.70 198.63  0.07 1667 116.81   360.2  49201.  2.89  3.68  70.88 -25.88 -16.56 0.56 1.01 0.74  8.32 351.2 187501. 98.61 355.9  46836.
