1981/095   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 3:47:21 0.93 261.51 255.61 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.45 383.9  29109.
 3:50:03 0.93 261.51 255.59 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.98 384.5  34908.
 3:52:45 0.93 261.51 255.56 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.67 387.6  28983.
 3:55:27 0.93 261.51 255.54 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.05 388.1  29886.
 3:58:09 0.93 261.51 255.51 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.92 385.1  29749.
 4:00:51 0.93 261.50 255.49 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.32 386.7  30932.
 4:03:33 0.93 261.50 255.46 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.83 384.4  34957.
 4:06:15 0.93 261.50 255.44 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.92 385.2  34797.
 4:08:57 0.93 261.50 255.41 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.02 388.4  30727.
 4:11:39 0.93 261.50 255.39 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.35 385.7  28297.
 4:14:21 0.93 261.50 255.36 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.79 385.5  27287.
 4:17:03 0.93 261.50 255.33 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 49.46 387.4  33800.
 4:19:45 0.93 261.50 255.31 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.58 388.0  28544.
 4:22:27 0.93 261.50 255.29 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 49.70 389.3  31692.
 4:25:09 0.93 261.50 255.26 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.49 386.2  28369.
 4:27:51 0.93 261.50 255.24 -2.57 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.26 384.9  33924.
 4:30:33 0.93 261.50 255.21 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.24 377.1  35610.
 4:33:15 0.93 261.50 255.18 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.22 380.9  29876.
 4:35:57 0.93 261.50 255.16 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.61 372.8  36003.
 4:38:39 0.93 261.50 255.13 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 46.26 372.0  28898.
 4:41:21 0.93 261.50 255.11 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.65 373.3  31107.
 4:44:03 0.93 261.50 255.08 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.02 368.7  31620.
 4:46:45 0.93 261.50 255.06 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.86 372.0  32358.
 4:49:27 0.93 261.50 255.03 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 41.84 371.3  27690.
 4:52:09 0.93 261.50 255.01 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.40 371.7  31620.
 4:54:51 0.93 261.50 254.98 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.15 374.9  31448.
 4:57:33 0.93 261.50 254.96 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.73 375.0  34135.
 5:00:15 0.93 261.50 254.93 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 40.58 373.1  26274.
 5:02:57 0.93 261.50 254.91 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 44.27 375.9  27365.
 5:05:39 0.93 261.50 254.88 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.83 372.6  25751.
 5:08:21 0.93 261.50 254.86 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 50.35 373.4  28833.
 5:11:03 0.93 261.49 254.83 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.43 381.4  40830.
 5:13:45 0.93 261.49 254.81 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.50 369.3  35168.
 5:16:27 0.93 261.49 254.78 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.78 368.9  36721.
 5:19:09 0.93 261.49 254.76 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 43.70 375.4  37270.
 5:21:51 0.93 261.49 254.73 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 39.23 374.4  31172.
 5:24:33 0.93 261.49 254.71 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 45.74 371.3  36756.
 5:27:15 0.93 261.49 254.68 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.59 371.0  33560.
 5:29:57 0.93 261.49 254.66 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.94 372.1  38387.
 5:32:39 0.93 261.49 254.63 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 51.22 373.0  30409.
 5:35:21 0.93 261.49 254.60 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 53.48 369.9  35860.
 5:38:03 0.93 261.49 254.58 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 54.00 371.1  26975.
 5:40:45 0.93 261.49 254.56 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 49.87 369.0  38618.
 5:43:27 0.93 261.49 254.53 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.65 370.4  43663.
 5:46:09 0.93 261.49 254.51 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 47.99 367.5  40788.
 5:48:51 0.93 261.49 254.48 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 49.25 365.1  44975.
 5:51:33 0.93 261.49 254.45 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 51.30 374.0  33885.
 5:54:15 0.93 261.49 254.43 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.04 373.5  50315.
 5:56:57 0.93 261.49 254.41 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 49.05 378.2  47281.
 5:59:39 0.93 261.49 254.38 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 51.48 374.4  48084.
 6:02:21 0.93 261.49 254.35 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 48.56 375.4  46362.
 6:05:03 0.93 261.49 254.33 -2.58 1707  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 54.74 381.0  43786.
