1975/013   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 0:07:59 0.89 350.76 119.05 -3.30 1623   4.90   688.4 305251. -2.02  5.49   4.71  -4.95  -6.93 0.50 0.31 0.45  0.17 727.5 776096.  4.94 690.9 392206.
 0:08:40 0.89 350.76 119.05 -3.30 1623   4.98   693.7 295636. -2.12  5.63   4.22  -5.15  -6.98 0.38 0.41 0.37  0.24 725.01145744.  5.01 689.9 303120.
 0:09:20 0.89 350.76 119.04 -3.30 1623   4.87   690.0 288047. -1.20  5.07   3.83  -5.06  -7.14 0.44 0.82 0.96  0.16 736.8 760295.  4.69 691.9 301925.
 0:10:01 0.89 350.76 119.04 -3.30 1623   4.91   687.3 343713. -1.69  5.14   4.59  -5.14  -6.63 0.63 0.63 0.83  0.17 728.21327034.  5.04 686.7 302081.
 0:10:41 0.89 350.76 119.03 -3.30 1623   4.75   685.5 288567. -2.33  5.46   4.39  -5.01  -6.79 0.70 0.42 0.54  0.24 712.1 987531.  4.79 686.1 319129.
 0:11:22 0.89 350.76 119.02 -3.30 1623   4.80   676.6 322039. -1.27  4.02   5.27  -5.29  -5.61 0.86 0.71 1.06  0.14 713.8 609775.  4.44 678.4 268712.
 0:12:02 0.89 350.76 119.02 -3.30 1623   4.91   710.5 290542. -1.31  5.70   2.33  -5.58  -7.19 1.24 0.82 0.84  0.21 731.5 694598.  4.69 706.6 297871.
 0:12:43 0.89 350.76 119.01 -3.30 1623   4.39   684.6 297923. -2.21  4.99   2.84  -6.35  -6.54 1.38 0.87 0.49  0.17 712.7 755929.  4.32 682.2 294336.
 0:13:23 0.89 350.76 119.00 -3.30 1623   4.58   697.8 272403. -0.58  4.89   2.80  -6.52  -6.41 0.58 0.40 0.52  0.15 740.3 701251.  4.50 701.4 299742.
 0:14:04 0.89 350.76 119.00 -3.30 1623   4.46   712.5 314815. -0.65  4.73   2.10  -6.51  -6.70 0.68 0.67 0.63  0.20 737.7 970899.  4.56 712.4 385917.
 0:14:44 0.89 350.76 118.99 -3.30 1623   4.77   728.2 289087. -2.23  6.16   0.84  -4.56  -8.30 0.56 1.05 0.95  0.21 727.7 711646.  4.65 722.6 315334.
 0:15:25 0.89 350.76 118.98 -3.30 1623   4.71   726.1 341218. -2.23  6.15   0.83  -4.45  -8.50 0.38 0.31 0.50  0.22 731.9 989818.  4.47 727.6 321519.
 0:16:05 0.89 350.76 118.98 -3.30 1623   4.49   709.0 290386. -0.16  4.78   1.61  -5.49  -7.64 1.20 0.98 1.06  0.20 731.5 842208.  4.52 706.9 291842.
 0:16:46 0.89 350.76 118.97 -3.30 1623   4.30   719.0 300002. -2.69  6.33   2.05  -4.75  -8.00 0.84 1.54 1.34  0.25 728.31134933.  4.35 721.5 306135.
 0:17:26 0.89 350.76 118.97 -3.30 1623   4.58   706.1 357330. -1.53  5.07   2.43  -5.10  -7.87 0.54 0.92 0.92  0.14 731.9 798549.  4.34 709.3 297507.
 0:18:07 0.89 350.76 118.96 -3.30 1623   4.39   714.1 305355. -1.17  5.13   2.11  -4.64  -8.24 0.82 0.70 0.73  0.22 731.91046783.  4.65 714.3 335033.
 0:18:47 0.89 350.76 118.95 -3.30 1623   4.43   690.5 286748. -0.38  4.66   3.88  -6.20  -6.38 0.89 0.74 0.77  0.15 737.2 625367.  4.20 694.6 300314.
 0:19:28 0.89 350.76 118.95 -3.30 1623   4.27   700.4 301145. -1.54  5.55   3.71  -5.94  -6.80 0.61 0.47 0.57  0.17 736.81169653.  4.22 695.3 290178.
 0:20:08 0.89 350.76 118.94 -3.30 1623   4.40   705.9 322923. -1.28  5.53   2.28  -5.65  -7.52 0.54 0.53 0.58  0.18 744.4 978800.  4.33 708.5 293349.
 0:20:49 0.89 350.76 118.93 -3.30 1623   4.67   704.6 323598. -1.21  5.13   2.77  -6.27  -6.74 0.74 0.55 0.65  0.22 731.01448656.  4.68 695.4 328536.
 0:21:29 0.89 350.76 118.93 -3.30 1623   4.41   687.6 295272. -0.09  3.51   4.01  -6.93  -5.32 1.15 0.77 0.85  0.16 739.5 616635.  4.76 686.6 358942.
 0:22:10 0.89 350.76 118.92 -3.30 1623   4.38   703.6 317829. -0.64  4.08   3.65  -7.09  -5.60 0.71 0.33 0.36  0.19 728.41119548.  4.44 695.3 312944.
 0:22:50 0.89 350.76 118.92 -3.30 1623   4.28   714.1 284409.  0.46  4.24   2.51  -7.41  -5.61 0.57 0.62 0.58  0.16 729.1 659463.  4.28 714.2 333994.
 0:23:31 0.89 350.76 118.91 -3.30 1623   4.61   705.8 328640. -0.32  3.91   2.59  -7.37  -5.14 1.23 1.08 1.11  0.19 730.61327450.  4.56 698.4 300002.
 0:24:11 0.89 350.76 118.90 -3.30 1623   4.07   663.1 283577. -4.77  4.72   4.66  -5.22  -4.30 2.65 3.31 1.99  0.15 729.7 664037.  4.19 660.7 268466.
 0:24:52 0.89 350.76 118.90 -3.30 1623   4.69   678.4 305875. -2.21  4.65   5.42  -5.83  -5.35 0.82 0.74 0.55  0.15 728.6 994808.  4.27 678.0 276873.
 0:25:32 0.89 350.76 118.89 -3.30 1623   4.14   673.7 271311. -1.33  4.10   6.42  -5.02  -4.90 0.40 1.25 1.27  0.22 704.71181295.  4.10 670.8 236228.
 0:26:13 0.89 350.76 118.88 -3.30 1623   4.51   679.9 314919. -3.03  5.45   5.98  -4.81  -5.77 0.65 1.05 0.79  0.17 708.8 818716.  4.37 680.7 268661.
 0:26:53 0.89 350.76 118.88 -3.30 1623   6.78   738.3 831034.  0.00  1.07   2.40  -3.36  -2.86 6.85 3.44 2.36  0.17 746.1 706657.  5.54 750.6 791688.
 0:27:34 0.89 350.76 118.87 -3.30 1623   4.08   697.1 304575. -0.14  4.29   2.13  -7.10  -5.60 1.41 0.98 0.91  0.21 730.91131607.  4.05 695.7 282642.
 0:28:14 0.89 350.76 118.86 -3.30 1623   4.86   677.1 399638. -2.70  4.10   5.15  -5.37  -5.21 1.17 1.36 1.02  0.16 737.6 748029.  4.56 673.5 352341.
 0:28:55 0.89 350.76 118.86 -3.30 1623   4.32   676.8 351249. -3.20  4.86   6.06  -4.20  -5.52 0.97 0.71 0.99  0.21 732.41038467.  4.10 673.2 298806.
 0:29:35 0.89 350.76 118.85 -3.30 1623   4.46   658.6 277552. -4.37  3.47   8.20  -2.30  -3.28 0.48 0.62 1.17  0.19 714.81212064.  4.73 660.6 370526.
 0:30:16 0.89 350.76 118.85 -3.30 1623   4.71   659.4 349557. -2.55  1.97   7.47  -4.30  -1.90 0.93 0.97 1.53  0.16 745.7 904787.  4.35 661.1 307902.
 0:30:56 0.89 350.76 118.84 -3.30 1623   4.82   657.2 293089. -5.62 -0.53   8.46  -2.80  -0.52 0.58 0.76 1.32  0.19 734.9 796886.  5.06 658.3 349807.
 0:31:37 0.89 350.76 118.84 -3.30 1623   5.08   669.6 283993. -7.03  2.45   0.00   0.00   0.00 0.00 0.00 0.00  0.21 731.91443874.  5.04 667.5 276769.
 0:32:17 0.89 350.76 118.83 -3.30 1623   4.83   672.8 273026. -8.50  1.96   7.79   2.84  -3.23 0.68 1.76 0.97  0.17 739.5 738050.  5.01 683.7 299378.
 0:32:58 0.89 350.76 118.82 -3.30 1623   4.92   666.9 317933. -7.79  0.85   7.32   4.35  -3.22 0.32 0.25 0.19  0.18 724.7 879215.  5.10 666.5 271779.
 0:33:38 0.89 350.76 118.82 -3.30 1623   4.66   671.6 278276. -1.11  3.00   7.28  -4.73  -2.48 0.51 0.86 0.90  0.14 733.3 539088.  4.73 668.1 241685.
 0:34:19 0.89 350.76 118.81 -3.30 1623   4.99   670.4 338048. -2.00  3.09   7.56  -4.75  -1.80 0.46 0.74 0.55  0.20 727.7 938051.  5.30 670.6 286956.
 0:34:59 0.89 350.76 118.80 -3.30 1623   4.58   657.2 248413. -2.06  1.49   7.51  -5.26  -0.98 0.49 0.69 0.63  0.16 716.51110401.  4.68 656.2 219287.
 0:35:40 0.89 350.76 118.80 -3.30 1623   4.38   662.0 232278. -1.20  1.10   7.10  -5.85  -0.74 0.56 0.60 0.87  0.17 735.21079839.  4.31 664.5 252704.
 0:36:20 0.89 350.76 118.79 -3.30 1623   4.85   673.7 262683.  0.03  0.94   6.47  -6.66  -0.47 0.39 0.55 0.55  0.18 718.51062583.  4.56 669.5 239502.
 0:37:01 0.89 350.76 118.78 -3.30 1623   4.54   651.0 239272. -2.67 -0.51   7.44  -5.39  -0.29 0.78 1.11 0.78  0.17 727.81038675.  4.57 657.1 264996.
 0:37:41 0.89 350.76 118.78 -3.30 1623   4.08   672.0 273234.  0.05  0.28   6.33  -6.82  -0.10 0.80 0.70 0.50  0.13 748.9 907282.  4.22 668.8 247351.
 0:38:22 0.89 350.76 118.77 -3.30 1623   4.53   686.3 289243.  0.53  1.21   5.16  -7.81  -0.34 0.88 0.81 0.95  0.20 733.01087324.  4.32 684.9 271623.
 0:39:02 0.89 350.76 118.77 -3.30 1623   4.08   680.8 266218.  0.00  0.90   4.52  -8.04   0.12 0.80 1.48 0.95  0.15 738.7 916637.  4.21 684.8 303744.
 0:39:43 0.89 350.76 118.76 -3.30 1623   4.47   675.7 199014. -0.18 -0.10   6.13  -7.15   1.61 0.31 0.56 1.00  0.18 739.81004579.  4.38 675.0 252080.
 0:40:23 0.89 350.76 118.75 -3.30 1623   4.68   669.0 267257. -1.42 -1.39   6.19  -6.90   1.38 0.79 0.93 0.93  0.15 728.4 824537.  4.72 671.5 335969.
 0:41:04 0.89 350.76 118.75 -3.30 1623   4.72   673.5 307018. -0.54  1.22   7.37  -5.34  -0.29 1.30 1.75 1.49  0.16 741.7 987739.  4.60 671.4 280303.
 0:41:44 0.89 350.76 118.74 -3.30 1623   4.26   680.8 303068.  0.00  1.57   5.42  -7.36  -1.13 1.18 1.13 1.16  0.20 735.2 769443.  4.53 684.7 313463.
 0:42:25 0.89 350.76 118.73 -3.30 1623   4.92   704.7 305719.  0.36  3.28   3.85  -7.92  -2.90 0.63 0.71 0.71  0.20 730.41303125.  4.92 701.1 366842.
 0:43:05 0.89 350.76 118.73 -3.30 1623   4.78   740.3 347351.  0.00  4.85   0.91  -7.65  -4.08 2.06 1.64 1.49  0.17 738.5 815181.  4.78 740.5 405304.
 0:43:46 0.89 350.76 118.72 -3.30 1623   5.15   700.0 336800.  0.66  1.87   4.05  -8.18   0.47 0.76 1.30 1.35  0.18 725.5 974018.  5.24 701.6 385085.
 0:44:26 0.89 350.76 118.72 -3.30 1623  -1.00    -1.0     -1. -1.00 -1.00   4.52  -7.94   1.41 0.40 0.68 0.64 -1.00  -1.0     -1.  4.44 693.0 304420.
 0:45:07 0.89 350.76 118.71 -3.30 1623   4.66   684.3 320220. -0.99 -3.01   5.47  -6.56   3.75 0.59 0.84 1.33  0.20 731.51057386.  4.56 683.0 253068.
 0:45:47 0.89 350.76 118.70 -3.30 1623   4.63   687.4 267673.  0.78  2.34   5.14  -6.97   1.94 0.74 1.45 2.37  0.18 726.1 691272.  4.29 679.1 240230.
 0:46:28 0.89 350.76 118.70 -3.30 1623   4.49   690.4 301457.  0.19  1.50   4.74  -7.72  -0.78 1.06 0.94 1.10  0.15 730.51255100.  4.48 687.5 273702.
 0:47:08 0.89 350.76 118.69 -3.30 1623   4.68   688.5 274430.  0.00  2.14   4.63  -7.72  -1.80 0.76 0.75 0.70  0.18 732.7 728278.  4.78 689.7 287995.
 0:47:49 0.89 350.76 118.69 -3.30 1623   4.47   669.7 271571. -4.02 -2.21   6.20  -2.95   4.99 1.54 2.48 2.60  0.20 729.51093353.  4.72 667.0 266218.
 0:48:29 0.89 350.76 118.68 -3.30 1623   4.82   663.1 256862. -3.56 -1.76   7.81  -2.89   3.78 0.32 1.26 0.98  0.13 737.4 671729.  4.80 662.0 223962.
 0:49:10 0.89 350.76 118.67 -3.30 1623   4.75   676.4 270895. -3.11 -2.51   7.16  -2.31   5.12 0.40 1.52 1.39  0.16 735.51288780.  4.82 671.6 252028.
 0:49:50 0.89 350.76 118.67 -3.30 1623   4.49   683.9 323079.  0.00  0.12   6.08  -6.60   1.84 0.88 1.11 1.06  0.14 735.1 856762.  4.52 685.3 321000.
 0:50:31 0.89 350.75 118.66 -3.30 1623   4.73   679.3 350054.  0.01  1.18   5.55  -7.48  -0.46 0.65 0.52 1.14  0.23 739.2 953643.  4.82 679.9 301873.
 0:51:11 0.89 350.75 118.65 -3.30 1623   4.47   683.5 275573.  0.00  2.12   5.05  -7.70  -1.51 0.46 0.46 0.34  0.18 736.6 593143.  4.73 683.6 307122.
 0:51:52 0.89 350.75 118.65 -3.30 1623   5.13   682.4 334461. -0.58  2.57   4.98  -7.51  -2.10 0.82 0.68 0.73  0.19 721.41222459.  4.85 683.2 296883.
 0:52:32 0.89 350.75 118.64 -3.30 1623   4.80   680.5 282330. -6.79  4.75   6.97  -0.17  -5.20 0.66 2.33 1.30  0.15 724.5 829526.  5.00 680.4 337060.
 0:53:13 0.89 350.75 118.63 -3.30 1623   4.79   690.4 308837. -1.04  3.37   3.95  -6.99  -3.28 1.15 1.33 1.41  0.20 734.81166326.  4.72 690.2 282798.
 0:53:53 0.89 350.75 118.63 -3.30 1623   4.53   670.5 272039. -4.71  4.62   6.45  -2.44  -5.36 1.02 1.93 0.95  0.16 695.3 750108.  4.49 669.0 229939.
 0:54:34 0.89 350.75 118.62 -3.30 1623   4.39   702.0 328640.  0.45  2.95   5.67  -1.41  -5.54 1.24 2.97 1.28  0.19 736.21091690.  3.85 698.4 285552.
 0:55:14 0.89 350.75 118.62 -3.30 1623   4.56   698.6 257694.  0.00 -1.67   3.44  -6.80   2.33 1.51 2.60 2.59  0.26 714.11357803.  4.35 701.2 277808.
 0:55:55 0.89 350.75 118.61 -3.30 1623   4.52   709.6 330407.  0.97  0.31   2.83  -5.38  -2.22 1.64 3.62 4.36  0.17 726.01237013.  4.86 708.4 379264.
 0:56:35 0.89 350.75 118.60 -3.30 1623   4.36   705.3 335189.  0.00  0.24   2.32  -8.29   1.35 0.93 1.05 1.62  0.17 733.3 741792.  4.16 704.5 293245.
 0:57:16 0.89 350.75 118.60 -3.30 1623   4.39   722.6 278536. -3.64  6.95   1.62  -3.41  -7.43 1.60 1.44 1.14  0.18 749.9 862167.  4.33 723.5 272870.
 0:57:56 0.89 350.75 118.59 -3.30 1623   4.23   724.8 299950. -4.11  6.93   1.26  -1.38  -8.35 0.64 0.29 0.41  0.15 736.8 735139.  4.29 723.5 311904.
 0:58:37 0.89 350.75 118.58 -3.30 1623   4.34   708.7 313775. -7.63  5.52   3.05  -0.64  -7.24 1.91 2.24 1.66  0.20 730.01224539.  4.26 708.5 350730.
 0:59:17 0.89 350.75 118.58 -3.30 1623   4.50   702.2 370480. -4.82  6.29   3.39   0.88  -7.66 0.71 1.47 0.91  0.16 754.61098966.  4.38 705.8 316218.
 0:59:58 0.89 350.75 118.57 -3.30 1623   4.33   701.1 308526. -4.86  6.51   2.84  -0.18  -7.78 1.90 0.88 0.98  0.18 729.5 800004.  4.29 699.5 284721.
 1:00:38 0.89 350.75 118.57 -3.30 1623   4.47   699.8 332642. -4.02  6.16   2.43  -0.73  -7.56 3.08 0.94 1.40  0.14 727.7 837635.  4.50 698.6 310605.
 1:01:19 0.89 350.75 118.56 -3.30 1623   4.47   669.0 243556. -2.00  4.27   6.53  -3.37  -4.83 0.91 0.91 0.96  0.17 737.81112895.  4.55 670.8 266478.
 1:01:59 0.89 350.75 118.55 -3.30 1623   4.21   686.7 292673. -0.74  4.61   4.87  -3.91  -6.09 1.04 0.82 1.04  0.17 732.7 790857.  4.32 689.4 304420.
 1:02:40 0.89 350.75 118.55 -3.30 1623   4.25   685.0 276353. -2.01  5.11   5.51  -4.17  -5.63 0.34 0.39 0.44  0.18 729.51148862.  4.29 683.3 283421.
 1:03:20 0.89 350.75 118.54 -3.30 1623   4.18   684.1 293765. -1.01  4.72   5.21  -4.18  -5.60 0.30 0.46 0.48  0.15 731.2 800628.  4.61 684.8 368037.
 1:04:01 0.89 350.75 118.53 -3.30 1623   4.37   696.6 307746. -0.59  4.97   3.67  -5.76  -4.96 1.10 1.39 1.25  0.19 727.71029112.  4.42 694.1 295792.
 1:04:41 0.89 350.75 118.53 -3.30 1623   4.56   702.5 349118. -0.31  4.70   3.33  -5.15  -5.91 1.01 0.75 0.57  0.21 724.5 706449.  4.70 702.4 327860.
 1:05:22 0.89 350.75 118.52 -3.30 1623   4.70   704.9 300729. -1.53  5.59   3.17  -4.08  -6.87 0.76 0.54 0.45  0.18 741.71003332.  4.67 705.2 344700.
 1:06:02 0.89 350.75 118.51 -3.30 1623   4.63   683.7 287943. -2.19  5.20   4.36  -3.94  -6.32 0.90 0.54 0.50  0.13 740.8 628278.  4.47 683.5 351353.
 1:06:43 0.89 350.75 118.51 -3.30 1623   4.22   713.9 313671. -3.34  6.61   3.26  -4.07  -6.07 1.58 1.94 2.30  0.14 729.11384415.  4.49 717.9 312892.
 1:07:23 0.89 350.75 118.50 -3.30 1623   4.33   678.0 286956.  0.00  1.70   6.01  -6.05  -1.00 0.53 0.80 0.43  0.16 739.2 772146.  4.10 681.5 259357.
 1:08:04 0.89 350.75 118.50 -3.30 1623   4.57   675.7 264087. -0.47  0.67   6.81  -5.30   0.24 0.34 0.67 0.49  0.16 721.41103332.  4.58 671.6 279679.
 1:08:44 0.89 350.75 118.49 -3.30 1623   4.33   669.7 258993. -0.18  0.06   6.88  -5.14   0.62 0.45 0.70 0.52  0.15 743.9 708528.  4.37 673.4 342258.
 1:09:25 0.89 350.75 118.49 -3.30 1623   4.62   663.5 290074. -2.26  1.70   7.48  -2.67  -2.26 0.52 1.90 1.54  0.21 729.91000006.  4.65 662.5 258109.
 1:10:05 0.89 350.75 118.48 -3.30 1623   4.71   667.6 267309. -1.19 -0.82   6.77  -4.91   1.20 0.72 0.86 1.39  0.17 709.41099174.  4.52 663.5 240802.
 1:10:46 0.89 350.75 118.47 -3.30 1623   4.82   677.3 288047. -1.59  3.13   6.41  -3.77  -3.87 0.77 0.88 1.21  0.15 746.5 984829.  4.63 672.9 265750.
 1:11:26 0.89 350.75 118.47 -3.30 1623   3.87   670.2 243297. -2.09  2.18   6.24  -3.28  -3.01 1.54 1.27 2.84  0.20 719.31064247.  4.16 674.3 272611.
 1:12:07 0.89 350.75 118.46 -3.30 1623   4.55   655.2 215974. -2.68  1.53   8.00  -2.69  -0.98 0.25 0.66 0.73  0.15 727.81171316.  4.61 658.9 228084.
 1:12:47 0.89 350.75 118.45 -3.30 1623   4.62   658.2 267702. -3.42  2.08   8.03  -2.01  -1.87 0.29 0.65 0.47  0.19 715.41246576.  4.39 654.7 230040.
 1:13:28 0.89 350.75 118.45 -3.30 1623   4.65   664.6 302600. -3.10  2.98   7.77  -2.00  -2.86 0.31 0.46 0.61  0.18 737.91007282.  4.69 666.1 256342.
 1:14:08 0.89 350.75 118.44 -3.30 1623   4.64   657.5 251233. -3.85 -0.91   7.91  -1.60   0.10 0.56 1.10 2.54  0.18 751.71179008.  4.54 656.0 224878.
 1:14:49 0.89 350.75 118.43 -3.30 1623   4.58   659.5 282720. -3.13 -0.03   8.38  -1.80   0.88 0.18 0.33 0.67  0.21 725.31163416.  4.45 660.9 240100.
 1:15:29 0.89 350.75 118.43 -3.30 1623   4.67   665.6 264139. -3.66  3.10   8.01  -2.33  -1.27 0.36 0.70 1.64  0.14 727.0 818508.  4.70 660.0 240477.
 1:16:10 0.89 350.75 118.42 -3.30 1623   4.67   664.9 286852. -2.52  2.04   8.04  -2.99  -0.69 0.24 0.49 0.61  0.17 703.8 948446.  4.57 665.0 248546.
 1:16:50 0.89 350.75 118.42 -3.30 1623   4.85   659.1 242861. -2.74  1.21   8.03  -3.07  -0.48 0.23 0.52 0.44  0.19 743.61092521.  4.79 657.0 219463.
 1:17:31 0.89 350.75 118.41 -3.30 1623   4.99   659.6 286079. -2.56 -0.06   8.00  -2.67   0.33 0.33 0.47 0.76  0.15 731.21061128.  4.62 661.2 258006.
 1:18:11 0.89 350.75 118.40 -3.30 1623   4.65   660.1 231313. -2.35  0.82   7.87  -3.21   0.60 0.28 0.62 0.89  0.18 721.3 913311.  4.71 663.2 289139.
 1:18:52 0.89 350.75 118.40 -3.30 1623   4.66   661.8 221623. -1.81  1.15   7.77  -3.62   0.02 0.25 0.40 0.34  0.15 717.6 631812.  4.48 665.3 258109.
 1:19:32 0.89 350.75 118.39 -3.30 1623   4.79   662.2 252132. -1.96  0.85   7.80  -3.37   0.09 0.33 0.48 0.26  0.16 736.0 569650.  4.41 657.6 213859.
 1:20:13 0.89 350.75 118.38 -3.30 1623   4.76   669.6 259253. -1.91  0.77   7.44  -3.97   0.17 0.35 0.60 1.03  0.15 717.8 827863.  4.79 664.9 245791.
 1:20:53 0.89 350.75 118.38 -3.30 1623   4.94   670.9 244336. -0.48 -0.59   6.35  -5.68   1.86 0.39 0.55 0.47  0.13 730.8 921627.  4.56 673.7 204315.
 1:21:34 0.89 350.75 118.37 -3.30 1623   4.89   680.8 265958. -0.26  0.71   6.38  -5.59   1.60 0.78 0.87 0.77  0.19 729.11293146.  5.06 679.5 258733.
 1:22:14 0.89 350.75 118.37 -3.30 1623   4.70   678.1 258993.  0.00 -0.19   5.52  -6.45   1.43 0.46 0.44 0.49  0.17 717.51007698.  4.55 678.7 214918.
 1:22:55 0.89 350.75 118.36 -3.30 1623   4.70   666.6 281862. -1.63  0.61   6.82  -4.98   0.81 0.88 1.05 0.79  0.15 734.41269861.  4.48 665.9 227496.
 1:23:35 0.89 350.75 118.35 -3.30 1623   4.76   667.9 263047. -0.96  0.55   6.99  -4.79   0.53 0.42 0.66 0.84  0.18 718.4 787322.  4.28 670.6 207849.
 1:24:16 0.89 350.75 118.35 -3.30 1623   4.48   682.2 272663. -0.13  0.82   5.96  -5.68  -0.89 0.68 1.05 1.34  0.21 715.91002500.  4.64 678.8 277912.
 1:24:56 0.89 350.75 118.34 -3.30 1623   4.47   682.0 255147.  0.19  2.93   5.71  -5.70  -1.39 0.84 1.29 1.37  0.20 708.61068405.  4.39 684.4 265646.
 1:25:37 0.89 350.75 118.33 -3.30 1623   4.52   675.1 291945. -1.16  1.86   5.79  -4.69  -2.63 1.75 1.74 1.73  0.17 713.6 763414.  4.68 673.1 304056.
 1:26:17 0.89 350.75 118.33 -3.30 1623   4.44   686.2 253016.  0.00  1.57   4.93  -6.64  -0.60 0.60 0.78 0.75  0.14 736.9 642623.  4.26 685.6 286696.
 1:26:58 0.89 350.75 118.32 -3.30 1623   4.56   709.7 314295.  0.45  4.09   3.94  -6.43  -3.35 0.92 0.45 1.13  0.15 739.41073602.  4.53 709.4 320532.
 1:27:38 0.89 350.75 118.32 -3.30 1623   4.58   715.9 261228.  0.00  4.69   1.86  -5.89  -5.48 1.02 1.04 1.04  0.20 737.6 728902.  4.47 714.0 265074.
 1:28:19 0.89 350.75 118.31 -3.30 1623   4.61   687.4 291530.  0.55  1.11   5.01  -6.63  -0.46 0.67 1.01 1.16  0.17 737.1 901460.  4.38 686.9 288099.
 1:28:59 0.89 350.75 118.30 -3.30 1623   4.76   700.4 310189.  0.00  3.34   4.08  -6.89  -2.69 0.45 0.56 1.03  0.17 733.3 899381.  4.57 697.0 271519.
 1:29:40 0.89 350.75 118.30 -3.30 1623   4.67   704.8 290802.  0.97  3.52   3.54  -6.97  -3.35 0.59 0.77 0.76  0.19 734.11092313.  4.67 702.3 263879.
 1:30:20 0.89 350.75 118.29 -3.30 1623   4.47   710.9 285241.  0.00  5.12   2.83  -6.23  -4.97 0.70 0.71 0.81  0.11 730.11036388.  4.40 710.7 298754.
 1:31:01 0.89 350.75 118.29 -3.30 1623   4.13   702.1 299794.  1.31  3.71   2.91  -6.38  -4.65 0.74 0.62 0.71  0.19 740.11096263.  4.09 702.7 220999.
 1:31:41 0.89 350.75 118.28 -3.30 1623   4.49   708.3 218556.  0.00  0.39   2.90  -8.09  -0.02 0.54 0.84 0.66  0.18 709.31194185.  4.58 707.2 265698.
 1:32:22 0.89 350.75 118.27 -3.30 1623   4.10   712.7 250937.  2.12  1.12   2.23  -8.35  -0.23 0.57 0.39 0.33  0.18 728.0 946159.  3.96 711.9 204679.
 1:33:02 0.89 350.75 118.27 -3.30 1623   4.74   686.7 244752.  0.55  3.31   4.21  -7.21  -1.67 0.95 0.84 0.86  0.14 730.2 783580.  4.62 687.8 288203.
 1:33:43 0.89 350.75 118.26 -3.30 1623   4.87   685.6 252652.  0.35  1.85   5.28  -6.69  -1.07 0.57 0.65 0.37  0.14 741.01067365.  4.69 679.4 252704.
 1:34:23 0.89 350.75 118.25 -3.30 1623   4.96   678.0 234721.  0.00  0.78   5.30  -6.87  -0.15 0.50 0.45 0.42  0.15 738.3 648029.  4.67 678.3 206446.
 1:35:04 0.89 350.75 118.25 -3.30 1623   4.29   708.2 256862.  1.79  0.70   3.95  -7.63   0.17 1.11 0.67 0.45  0.19 737.61088779.  4.07 708.1 212683.
