1981/039   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 5:08:53 0.91 276.61 288.25  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.74 328.6  18279.
 5:10:14 0.91 276.61 288.24  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.40 330.2  18406.
 5:11:35 0.91 276.61 288.23  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.69 328.4  17873.
 5:12:56 0.91 276.61 288.21  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.84 329.0  12133.
 5:14:17 0.91 276.61 288.20  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.61 330.1  15911.
 5:15:38 0.91 276.61 288.19  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.52 329.1  18864.
 5:16:59 0.91 276.61 288.18  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.69 330.8  18471.
 5:18:20 0.91 276.61 288.16  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.23 328.9  16993.
 5:19:41 0.91 276.61 288.15  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.96 328.0  18386.
 5:21:02 0.91 276.61 288.14  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.98 328.5  17282.
 5:22:23 0.91 276.61 288.13  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.04 327.3  20355.
 5:23:44 0.91 276.61 288.11  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.78 328.8  14936.
 5:25:05 0.91 276.61 288.10  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.84 328.4  18097.
 5:26:26 0.91 276.61 288.09  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.55 328.4  17967.
 5:27:47 0.91 276.61 288.07  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.16 329.1  15466.
 5:29:08 0.91 276.61 288.06  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.55 326.7  15427.
 5:30:29 0.91 276.61 288.05  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.97 330.6  17298.
 5:31:50 0.91 276.61 288.04  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 14.10 329.1  15820.
 5:33:11 0.91 276.60 288.03  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.21 330.1  15414.
 5:34:32 0.91 276.60 288.01  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.37 330.8  16704.
 5:35:53 0.91 276.60 288.00  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.33 331.0  15070.
 5:37:14 0.91 276.60 287.99  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.12 330.9  16181.
 5:38:35 0.91 276.60 287.98  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.22 331.5  14556.
 5:39:56 0.91 276.60 287.96  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.02 331.3  17425.
 5:41:17 0.91 276.60 287.95  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.64 332.3  16697.
 5:42:38 0.91 276.60 287.94  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.83 331.2  16434.
 5:43:59 0.91 276.60 287.92  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.66 330.9  15969.
 5:45:20 0.91 276.60 287.91  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.01 329.5  15836.
 5:46:41 0.91 276.60 287.90  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.61 329.7  14738.
 5:48:02 0.91 276.60 287.89  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.56 327.9  14829.
 5:49:23 0.91 276.60 287.88  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.37 329.0  14754.
 5:50:44 0.91 276.60 287.86  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.54 329.9  14602.
 5:52:05 0.91 276.60 287.85  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.63 330.7  14319.
 5:53:26 0.91 276.60 287.84  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.95 330.9  16619.
 5:54:47 0.91 276.60 287.82  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.33 329.5  14703.
 5:56:08 0.91 276.60 287.81  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.32 330.5  15859.
 5:57:29 0.91 276.60 287.80  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.01 330.4  15079.
 5:58:50 0.91 276.60 287.79  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.39 329.8  13637.
 6:00:11 0.91 276.60 287.77  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.33 330.0  14521.
 6:01:32 0.91 276.60 287.76  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.61 329.7  13864.
 6:02:53 0.91 276.60 287.75  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.17 329.8  14358.
 6:04:14 0.91 276.60 287.74  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.39 328.9  13877.
 6:05:35 0.91 276.60 287.73  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.82 331.7  15235.
 6:06:56 0.91 276.60 287.71  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.04 330.6  17970.
 6:08:17 0.91 276.60 287.70  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.42 330.9  15450.
 6:09:38 0.91 276.60 287.69  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.18 330.7  18009.
 6:10:59 0.91 276.60 287.67  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 23.22 331.3  15979.
 6:12:20 0.91 276.60 287.66  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.07 331.4  15342.
 6:13:41 0.91 276.60 287.65  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.27 330.4  15450.
 6:15:02 0.91 276.60 287.64  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.67 331.0  14920.
 6:16:23 0.91 276.60 287.62  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 22.90 331.1  15109.
 6:17:44 0.91 276.60 287.61  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.17 331.2  14144.
 6:19:05 0.91 276.60 287.60  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.18 331.4  14800.
 6:20:26 0.91 276.60 287.59  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.77 330.8  14397.
 6:21:47 0.91 276.60 287.57  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.01 331.3  14725.
 6:23:08 0.91 276.60 287.56  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.42 330.2  15066.
 6:24:29 0.91 276.60 287.55  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.65 331.1  15284.
 6:25:49 0.91 276.60 287.54  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.24 329.8  16434.
 6:27:10 0.91 276.60 287.52  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 21.91 330.6  15456.
 6:29:52 0.91 276.60 287.50  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.54 327.2  19598.
 6:31:14 0.91 276.60 287.49  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.22 326.5  14508.
 6:32:35 0.91 276.60 287.48  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.84 328.7  14504.
 6:33:56 0.91 276.60 287.46  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.55 328.8  14897.
 6:35:17 0.91 276.60 287.45  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.67 328.4  14423.
 6:36:38 0.91 276.60 287.44  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.70 331.2  14742.
 6:37:59 0.91 276.60 287.42  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.51 330.0  13923.
 6:39:20 0.91 276.60 287.41  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.55 328.9  11590.
 6:40:41 0.91 276.60 287.40  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.72 329.7  14173.
 6:42:02 0.91 276.60 287.38  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.54 329.1  12139.
 6:43:23 0.91 276.60 287.37  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.04 329.7  14504.
 6:44:44 0.91 276.60 287.36  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.64 330.0  14443.
 6:46:05 0.91 276.59 287.35  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.06 330.2  14316.
 6:47:26 0.91 276.59 287.34  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.21 327.8  13371.
 6:48:47 0.91 276.59 287.32  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.67 329.0  14102.
 6:50:08 0.91 276.59 287.31  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.33 328.0  12627.
 6:51:29 0.91 276.59 287.30  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.25 327.9  13670.
 6:52:50 0.91 276.59 287.29  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.59 327.5  13566.
 6:54:11 0.91 276.59 287.27  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.35 328.3  13783.
 6:55:32 0.91 276.59 287.26  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.19 326.8  13595.
 6:56:53 0.91 276.59 287.25  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.00 325.3  14043.
 6:58:14 0.91 276.59 287.23  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.21 327.0  13000.
 6:59:35 0.91 276.59 287.22  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.61 327.4  18273.
 7:00:56 0.91 276.59 287.21  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.67 326.0  15372.
 7:02:17 0.91 276.59 287.20  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.57 326.7  16401.
 7:03:38 0.91 276.59 287.19  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.35 324.8  12461.
 7:04:59 0.91 276.59 287.17  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.02 324.7  13871.
 7:06:20 0.91 276.59 287.16  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.33 324.6  14618.
 7:07:41 0.91 276.59 287.15  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.80 325.9  13721.
 7:09:02 0.91 276.59 287.13  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 15.63 325.5  13530.
 7:10:23 0.91 276.59 287.12  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.12 327.1  17951.
 7:11:44 0.91 276.59 287.11  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.88 327.4  11438.
 7:13:05 0.91 276.59 287.10  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.03 328.2  14670.
 7:14:26 0.91 276.59 287.09  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 16.31 328.8  16018.
 7:15:47 0.91 276.59 287.07  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.42 329.9  14910.
 7:17:08 0.91 276.59 287.06  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.36 329.3  16785.
 7:18:29 0.91 276.59 287.05  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.90 330.1  15287.
 7:19:50 0.91 276.59 287.04  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.05 328.7  14803.
 7:21:11 0.91 276.59 287.02  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.93 330.0  15622.
 7:22:32 0.91 276.59 287.01  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.55 328.8  17314.
 7:23:53 0.91 276.59 287.00  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.11 330.2  14206.
 7:25:14 0.91 276.59 286.98  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.88 330.1  14735.
 7:26:35 0.91 276.59 286.97  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.73 330.7  14657.
 7:27:56 0.91 276.59 286.96  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.10 329.8  13462.
 7:29:17 0.91 276.59 286.95  2.45 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.04 332.1  13874.
 7:30:38 0.91 276.59 286.94  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.67 331.5  14842.
 7:31:59 0.91 276.59 286.92  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.76 331.3  15560.
 7:33:20 0.91 276.59 286.91  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.36 330.3  15027.
 7:34:41 0.91 276.59 286.90  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.15 329.5  14696.
 7:36:02 0.91 276.59 286.88  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.36 329.3  15096.
 7:37:23 0.91 276.59 286.87  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.30 329.9  14732.
 7:38:44 0.91 276.59 286.86  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.08 329.1  13406.
 7:40:05 0.91 276.59 286.85  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.82 328.8  14732.
 7:41:26 0.91 276.59 286.83  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.89 327.7  11642.
 7:42:47 0.91 276.59 286.82  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 17.89 328.9  15706.
 7:44:08 0.91 276.59 286.81  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.30 328.7  13894.
 7:45:29 0.91 276.59 286.80  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 20.62 329.7  14238.
 7:46:50 0.91 276.59 286.79  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 18.12 330.1  13637.
 7:48:11 0.91 276.59 286.77  2.44 1705  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 19.40 329.6  14985.
