1979/214   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
 3:45:53 0.97 117.67 265.93  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.07 422.9  61194.
 3:48:35 0.97 117.67 265.90  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.33 414.8  55899.
 3:51:17 0.97 117.67 265.88  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.59 415.7  84239.
 3:53:59 0.97 117.67 265.86  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.48 416.9  67204.
 3:56:41 0.97 117.67 265.83  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.55 418.7  75770.
 3:59:23 0.97 117.67 265.80  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.25 416.2  51634.
 4:02:05 0.97 117.67 265.78  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.44 419.4  86731.
 4:04:47 0.97 117.67 265.75  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.30 415.2  56565.
 4:07:29 0.97 117.67 265.73  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.48 416.1  68637.
 4:10:11 0.97 117.66 265.70  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.46 418.9  63615.
 4:12:53 0.97 117.66 265.68  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.33 423.2  62958.
 4:15:35 0.97 117.66 265.65  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.41 416.9  62075.
 4:18:17 0.97 117.66 265.63  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.26 414.5  71739.
 4:20:59 0.97 117.66 265.60  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.15 414.6  55838.
 4:23:41 0.97 117.66 265.58  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.27 413.2  80191.
 4:26:21 0.97 117.66 265.55  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.34 416.5  58437.
 4:29:03 0.97 117.66 265.53  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.49 418.1  91587.
 4:34:27 0.97 117.66 265.47  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.23 410.9  78999.
 4:37:12 0.97 117.66 265.45  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.48 413.9  74809.
 4:39:54 0.97 117.66 265.43  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.40 412.5  85399.
 4:42:36 0.97 117.66 265.40  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.51 411.1  65677.
 5:58:45 0.97 117.65 264.69  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.56 405.3  57943.
 6:01:27 0.97 117.65 264.66  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.77 401.5  69660.
 6:04:09 0.97 117.65 264.63  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.61 403.1  53080.
 6:06:51 0.97 117.65 264.61  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.81 399.8  69995.
 6:09:36 0.97 117.65 264.59  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.38 402.1  54574.
 6:12:18 0.97 117.65 264.56  1.11 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.37 402.5  57732.
 6:15:00 0.97 117.64 264.54  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.58 399.0  65291.
 6:17:42 0.97 117.64 264.51  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.63 398.2  64755.
 6:20:24 0.97 117.64 264.48  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.25 401.5  42649.
 6:23:06 0.97 117.64 264.46  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.58 394.2  54805.
 6:25:48 0.97 117.64 264.44  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.42 400.0  53239.
 6:28:30 0.97 117.64 264.41  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.30 402.0  64293.
 6:31:12 0.97 117.64 264.38  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.50 401.3  41473.
 6:33:54 0.97 117.64 264.36  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.38 395.7  49276.
 6:36:36 0.97 117.64 264.33  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.55 402.1  41519.
 6:39:18 0.97 117.64 264.31  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.47 393.6  48220.
 6:42:00 0.97 117.64 264.28  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.38 396.6  58177.
 6:44:42 0.97 117.64 264.26  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.54 391.7  54818.
 6:47:24 0.97 117.64 264.23  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.15 395.7  47840.
 6:50:06 0.97 117.64 264.21  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.58 410.5  47665.
 6:52:48 0.97 117.64 264.18  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.74 401.9  46343.
 6:55:30 0.97 117.64 264.16  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.68 390.3  46969.
 6:58:12 0.97 117.64 264.13  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.26 397.5  47531.
 7:00:54 0.97 117.64 264.11  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.41 393.6  51163.
 7:03:36 0.97 117.64 264.08  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.23 394.9  53168.
 7:06:18 0.97 117.64 264.05  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.30 395.8  50146.
 7:09:00 0.97 117.64 264.03  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.34 399.3  52761.
 7:11:42 0.97 117.64 264.01  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.63 391.7  44972.
 7:14:24 0.97 117.64 263.98  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.71 401.9  44946.
 7:17:06 0.97 117.63 263.96  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.66 402.7  49549.
 7:19:48 0.97 117.63 263.93  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.92 403.7  49308.
 7:22:30 0.97 117.63 263.90  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.98 408.6  46999.
 7:25:12 0.97 117.63 263.88  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.48 403.8  46999.
 7:27:54 0.97 117.63 263.85  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.79 408.3  52628.
 7:30:36 0.97 117.63 263.83  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.70 407.5  50692.
 7:33:18 0.97 117.63 263.80  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.81 407.6  54925.
 7:36:00 0.97 117.63 263.78  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.93 406.2  46014.
 7:38:42 0.97 117.63 263.75  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.24 410.0  57248.
 7:41:24 0.97 117.63 263.73  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.80 408.6  44078.
 7:44:06 0.97 117.63 263.70  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.07 408.3  46846.
 7:46:48 0.97 117.63 263.68  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.72 405.5  45716.
 7:49:30 0.97 117.63 263.65  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.85 407.3  51433.
 7:52:12 0.97 117.63 263.63  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.74 407.7  60431.
 7:54:54 0.97 117.63 263.60  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.99 410.5  51127.
 7:57:36 0.97 117.63 263.58  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.04 409.9  66535.
 8:00:18 0.97 117.63 263.55  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.95 410.1  52966.
 8:03:00 0.97 117.63 263.53  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.89 412.2  53957.
 8:05:42 0.97 117.63 263.50  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.27 408.8  73695.
 8:08:24 0.97 117.63 263.47  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.84 406.6  61974.
 8:11:06 0.97 117.63 263.45  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.92 403.6  64560.
 8:13:48 0.97 117.63 263.42  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.60 403.9  54100.
 8:16:30 0.97 117.63 263.40  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.02 408.6  54194.
 8:19:12 0.97 117.62 263.37  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.30 402.8  48435.
 8:21:54 0.97 117.62 263.35  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.86 403.5  51108.
 8:24:36 0.97 117.62 263.32  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.61 402.7  48054.
 8:27:18 0.97 117.62 263.30  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.65 405.3  37500.
 8:30:00 0.97 117.62 263.27  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.90 403.2  53525.
 8:32:42 0.97 117.62 263.25  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.71 404.9  39040.
 8:35:24 0.97 117.62 263.22  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.95 402.4  54366.
 8:38:06 0.97 117.62 263.20  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.73 403.7  40310.
 8:40:48 0.97 117.62 263.17  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.70 402.9  48314.
 8:43:30 0.97 117.62 263.15  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.74 405.2  38358.
 8:46:12 0.97 117.62 263.12  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.91 403.7  59252.
 8:48:54 0.97 117.62 263.10  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.61 401.5  47255.
 8:51:36 0.97 117.62 263.07  1.10 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.09 402.6  53755.
 8:54:18 0.97 117.62 263.05  1.09 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.31 404.4  59125.
 8:57:00 0.97 117.62 263.02  1.09 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.96 403.3  49120.
 8:59:42 0.97 117.62 262.99  1.09 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.87 400.1  50179.
 9:02:24 0.97 117.62 262.97  1.09 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.83 400.8  52609.
 9:05:06 0.97 117.62 262.95  1.09 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.46 388.5  48857.
 9:07:48 0.97 117.62 262.92  1.09 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.17 398.2  45436.
 9:10:30 0.97 117.62 262.89  1.09 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.48 396.2  51670.
11:48:52 0.97 117.59 261.42  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.71 385.8  37201.
11:57:54 0.97 117.59 261.33  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.57 382.1  35132.
12:08:42 0.97 117.59 261.23  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.60 386.0  33037.
12:19:30 0.97 117.59 261.13  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.30 385.7  28310.
12:30:18 0.97 117.58 261.03  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.81 382.5  31608.
12:41:06 0.97 117.58 260.93  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.34 383.4  26829.
12:51:54 0.97 117.58 260.82  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.37 381.5  32829.
13:02:42 0.97 117.58 260.72  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.41 381.7  29083.
13:13:30 0.97 117.58 260.62  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.85 380.0  29441.
13:29:20 0.97 117.57 260.47  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.48 379.7  51806.
13:45:54 0.97 117.57 260.32  1.08 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.31 382.4  41242.
14:12:32 0.97 117.57 260.07  1.07 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.55 382.2  44621.
14:55:44 0.97 117.56 259.67  1.07 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.16 392.9  44312.
15:38:56 0.97 117.55 259.26  1.07 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  5.96 363.5  49006.
16:22:09 0.97 117.55 258.86  1.07 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.06 369.9  55526.
17:05:21 0.97 117.54 258.45  1.06 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  6.37 390.3  35610.
17:48:33 0.97 117.53 258.05  1.06 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.45 375.4  42217.
18:31:45 0.97 117.53 257.65  1.06 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.54 377.0  27284.
19:14:57 0.97 117.52 257.24  1.06 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.38 383.8  27264.
19:58:09 0.97 117.51 256.84  1.05 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.27 380.6  24747.
20:41:21 0.97 117.50 256.43  1.05 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  8.69 378.5  32923.
21:24:33 0.97 117.50 256.03  1.05 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  7.44 382.4  37497.
22:07:45 0.97 117.49 255.63  1.05 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  9.98 380.9  34658.
22:50:57 0.97 117.48 255.22  1.04 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  9.25 391.8  42522.
23:34:09 0.97 117.48 254.82  1.04 1684  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 13.46 401.9  43974.
